"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g092260","cellular protein modification proce...",0.0100614391179261,"GO:0001933","negative regulation of protein phosphorylation","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"2","PGEN_.00g092260","anatomical structure development",0.00460015434981484,"GO:0001942","hair follicle development","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"3","PGEN_.00g092260","transport",0.00461372265023647,"GO:0002576","platelet degranulation","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"4","PGEN_.00g092260","vesicle-mediated transport",0.00461372265023647,"GO:0002576","platelet degranulation","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"5","PGEN_.00g092260","cell population proliferation",0.00509461193144129,"GO:0010839","negative regulation of keratinocyte proliferation","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"6","PGEN_.00g092260","signal transduction",0.00708039351996058,"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"7","PGEN_.00g092260","anatomical structure development",0.0020399176558856,"GO:0045616","regulation of keratinocyte differentiation","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"8","PGEN_.00g092260","cell differentiation",0.0020399176558856,"GO:0045616","regulation of keratinocyte differentiation","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"9","PGEN_.00g092260","response to stress",0.00201675871616687,"GO:0061045","negative regulation of wound healing","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"10","PGEN_.00g092260","immune system process",0.00161132726524391,"GO:0072675","osteoclast fusion","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"11","PGEN_.00g092260","anatomical structure development",0.00161132726524391,"GO:0072675","osteoclast fusion","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"12","PGEN_.00g092260","anatomical structure formation invo...",0.00161132726524391,"GO:0072675","osteoclast fusion","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"13","PGEN_.00g092260","cell differentiation",0.00161132726524391,"GO:0072675","osteoclast fusion","BP","Day21","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
