"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g003030","transport",4.02664677038114e-05,"GO:0006886","intracellular protein transport","BP","turquoise","E3 ubiquitin-protein ligase MIB1"
"2","PGEN_.00g003030","vesicle-mediated transport",0.00220924224261697,"GO:0006897","endocytosis","BP","turquoise","E3 ubiquitin-protein ligase MIB1"
"3","PGEN_.00g003030","transport",0.00141827846623055,"GO:0015031","protein transport","BP","turquoise","E3 ubiquitin-protein ligase MIB1"
"4","PGEN_.00g003030","transport",9.23680450050887e-05,"GO:0042147","retrograde transport, endosome to Golgi","BP","turquoise","E3 ubiquitin-protein ligase MIB1"
"5","PGEN_.00g003030","vesicle-mediated transport",9.23680450050887e-05,"GO:0042147","retrograde transport, endosome to Golgi","BP","turquoise","E3 ubiquitin-protein ligase MIB1"
"6","PGEN_.00g003030","transport",0.00220924224261697,"GO:0006897","endocytosis","BP","turquoise","E3 ubiquitin-protein ligase MIB1"
"7","PGEN_.00g003030","transport",0.000680815072119978,"GO:0016192","vesicle-mediated transport","BP","turquoise","E3 ubiquitin-protein ligase MIB1"
"8","PGEN_.00g003950","mRNA processing",0.0028426979226017,"GO:0000398","mRNA splicing, via spliceosome","BP","turquoise","U2 small nuclear ribonucleoprotein A' (U2 snRNP A')"
"9","PGEN_.00g003950","cellular nitrogen compound metaboli...",0.0028426979226017,"GO:0000398","mRNA splicing, via spliceosome","BP","turquoise","U2 small nuclear ribonucleoprotein A' (U2 snRNP A')"
"10","PGEN_.00g005530","anatomical structure development",0.0234462607069184,"GO:0007411","axon guidance","BP","turquoise","Brevican core protein"
"11","PGEN_.00g005530","anatomical structure development",0.00261592323263338,"GO:0007417","central nervous system development","BP","turquoise","Brevican core protein"
"12","PGEN_.00g006380","catabolic process",9.15718385949726e-05,"GO:0051603","proteolysis involved in cellular protein catabolic process","BP","turquoise","Counting factor associated protein D"
"13","PGEN_.00g007030","anatomical structure development",0.0234462607069184,"GO:0007411","axon guidance","BP","turquoise","KICSTOR complex protein SZT2 (Seizure threshold 2 protein) (Transcript increased in glutamate resistance) (TIGR)"
"14","PGEN_.00g007030","anatomical structure development",0.00261592323263338,"GO:0007417","central nervous system development","BP","turquoise","KICSTOR complex protein SZT2 (Seizure threshold 2 protein) (Transcript increased in glutamate resistance) (TIGR)"
"15","PGEN_.00g008850","cell differentiation",0.0234462607069184,"GO:0007411","axon guidance","BP","turquoise","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)"
"16","PGEN_.00g008850","locomotion",0.0234462607069184,"GO:0007411","axon guidance","BP","turquoise","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)"
"17","PGEN_.00g008850","anatomical structure development",0.0234462607069184,"GO:0007411","axon guidance","BP","turquoise","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)"
"18","PGEN_.00g008850","anatomical structure development",0.00261592323263338,"GO:0007417","central nervous system development","BP","turquoise","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)"
"19","PGEN_.00g008850","cell morphogenesis",0.0234462607069184,"GO:0007411","axon guidance","BP","turquoise","Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)"
"20","PGEN_.00g013560","protein transport",4.02664677038114e-05,"GO:0006886","intracellular protein transport","BP","turquoise","Syntaxin-5"
"21","PGEN_.00g013560","transport",0.00220924224261697,"GO:0006897","endocytosis","BP","turquoise","Syntaxin-5"
"22","PGEN_.00g013560","transport",0.00141827846623055,"GO:0015031","protein transport","BP","turquoise","Syntaxin-5"
"23","PGEN_.00g013560","transport",4.02664677038114e-05,"GO:0006886","intracellular protein transport","BP","turquoise","Syntaxin-5"
"24","PGEN_.00g013560","transport",0.000680815072119978,"GO:0016192","vesicle-mediated transport","BP","turquoise","Syntaxin-5"
