"","V1","V2","V3","V4","V5","V6","V7","V8","V9","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","PGEN_.00g074210","Scaffold_03",45782932,45794184,"B0VXW0","OXLA_SISCA","L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2)","GO:0001716; GO:0005576; GO:0006915; GO:0009405; GO:0042742; GO:0044179; GO:0090729","extracellular region [GO:0005576]; L-amino-acid oxidase activity [GO:0001716]; toxin activity [GO:0090729]; apoptotic process [GO:0006915]; defense response to bacterium [GO:0042742]; hemolysis in other organism [GO:0044179]; pathogenesis [GO:0009405]",14.9036347014553,-1.93271142477308,0.439427759063195,-4.39824609372284,1.09129197562718e-05,0.0264747433287154
"2","PGEN_.00g164540","Scaffold_07",32500597,32501784,"Q16820","MEP1B_HUMAN","Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B) (N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit beta) (PABA peptide hydrolase) (PPH beta)","GO:0004222; GO:0005576; GO:0005887; GO:0006954; GO:0008270; GO:0017090; GO:0042802; GO:1901998","extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; meprin A complex [GO:0017090]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; inflammatory response [GO:0006954]; toxin transport [GO:1901998]",61.84401660013,3.61712913631956,0.793430483844357,4.55884820405906,5.14349297957094e-06,0.0264747433287154
"3","PGEN_.00g164660","Scaffold_07",32704196,32705401,"Q16820","MEP1B_HUMAN","Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B) (N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit beta) (PABA peptide hydrolase) (PPH beta)","GO:0004222; GO:0005576; GO:0005887; GO:0006954; GO:0008270; GO:0017090; GO:0042802; GO:1901998","extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; meprin A complex [GO:0017090]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; inflammatory response [GO:0006954]; toxin transport [GO:1901998]",66.6498385954986,3.5325694585512,0.796258821495131,4.43645880358111,9.14508267715632e-06,0.0264747433287154
"4","PGEN_.00g216730","Scaffold_10",33588498,33592120,NA,NA,NA,NA,NA,20.7468790731913,3.58184971542152,0.835137481006322,4.28893421368836,1.79532534987207e-05,0.0305116362864029
"5","PGEN_.00g236660","Scaffold_11",35968989,35995199,NA,NA,NA,NA,NA,226.31953090663,3.31518820650323,0.779238564567857,4.25439442713123,2.09615528211067e-05,0.0305116362864029
"6","PGEN_.00g164550","Scaffold_07",32502999,32504309,"Q64230","MEP1A_RAT","Meprin A subunit alpha (EC 3.4.24.18) (Endopeptidase-2) (Endopeptidase-24.18 subunit alpha) (E-24.18) (MEP-1)","GO:0004222; GO:0006508; GO:0008270; GO:0016020; GO:0017090","membrane [GO:0016020]; meprin A complex [GO:0017090]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]",53.1022990437609,3.0527884781538,0.7321674472797,4.16952227184662,3.0523878761424e-05,0.0370254649376073
"7","PGEN_.00g164650","Scaffold_07",32701671,32702981,"Q64230","MEP1A_RAT","Meprin A subunit alpha (EC 3.4.24.18) (Endopeptidase-2) (Endopeptidase-24.18 subunit alpha) (E-24.18) (MEP-1)","GO:0004222; GO:0006508; GO:0008270; GO:0016020; GO:0017090","membrane [GO:0016020]; meprin A complex [GO:0017090]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]",54.1140246793586,3.02753819038454,0.734933502074799,4.11947228128458,3.79741100605086e-05,0.0387237818940887
"8","PGEN_.00g244450","Scaffold_12",5684426,5718759,NA,NA,NA,NA,NA,33.4899323576512,2.70129945387282,0.659964983552436,4.09309512049013,4.2565300240823e-05,0.0387237818940887
"9","PGEN_.00g143630","Scaffold_06",37611088,37615029,"P0DN66","ACTP1_CINAN","Tereporin-Ca1 (Actinoporin-like protein) (Fragment)","GO:0005576; GO:0006811; GO:0009405; GO:0016021; GO:0044179; GO:0044218; GO:0090729","extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; other organism cell membrane [GO:0044218]; toxin activity [GO:0090729]; hemolysis in other organism [GO:0044179]; ion transport [GO:0006811]; pathogenesis [GO:0009405]",14.001552523384,3.43075652922907,0.847782446347181,4.04674164228227,5.19355084520633e-05,0.0419985145015685
"10","PGEN_.00g312070","Scaffold_15",38549146,38559071,NA,NA,NA,NA,NA,496.607684095805,3.86962075197254,0.971061409026295,3.98493927984709,6.74973831856934e-05,0.0491245954825477
