"","Cgigas_PathwayID","Pathway_Description","Cgigas_KEGG_IDs","Gene_name","day_mod"
"1","crg04140","Autophagy - animal","crg:105318591","serine/threonine-protein kinase TBK1","Day7_brown"
"2","crg04140","Autophagy - animal","crg:105319313","synaptosomal-associated protein 29","Day7_brown"
"3","crg04140","Autophagy - animal","crg:105321014","serine/threonine-protein kinase/endoribonuclease IRE1","Day7_brown"
"4","crg04140","Autophagy - animal","crg:105325397","ras-related protein M-Ras","Day7_brown"
"5","crg04140","Autophagy - animal","crg:105327465","hamartin isoform X3","Day7_brown"
"6","crg04140","Autophagy - animal","crg:105331286","phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","Day7_brown"
"7","crg04140","Autophagy - animal","crg:105331792","3-phosphoinositide-dependent protein kinase 1 isoform X2","Day7_brown"
"8","crg04140","Autophagy - animal","crg:105331926","gamma-aminobutyric acid receptor-associated protein-like 2","Day7_brown"
"9","crg04140","Autophagy - animal","crg:105333842","serine/threonine-protein kinase TBK1","Day7_brown"
"10","crg04140","Autophagy - animal","crg:105334418","mitogen-activated protein kinase 1","Day7_brown"
"11","crg04140","Autophagy - animal","crg:105334653","cathepsin L1-like isoform X2","Day7_brown"
"12","crg04140","Autophagy - animal","crg:105338878","autophagy-related protein 2 homolog B","Day7_brown"
"13","crg04140","Autophagy - animal","crg:105341321","5'-AMP-activated protein kinase catalytic subunit alpha-2 isoform X1","Day7_brown"
"14","crg04140","Autophagy - animal","crg:105341596","cathepsin L1","Day7_brown"
"15","crg04140","Autophagy - animal","crg:105342014","GTPase HRas","Day7_brown"
"16","crg04140","Autophagy - animal","crg:105342662","insulin receptor substrate 1-B isoform X1","Day7_brown"
"17","crg04140","Autophagy - animal","crg:105342791","zinc finger FYVE domain-containing protein 1","Day7_brown"
"18","crg04140","Autophagy - animal","crg:105343707","serine/threonine-protein kinase ULK2 isoform X1","Day7_brown"
"19","crg04140","Autophagy - animal","crg:105345355","ras-related protein R-Ras2-like","Day7_brown"
"20","crg04140","Autophagy - animal","crg:105348659","TNF receptor-associated factor 6 isoform X1","Day7_brown"
"21","crg04144","Endocytosis","crg:105317888","actin-related protein 3 isoform X1","Day7_brown"
"22","crg04144","Endocytosis","crg:105321861","charged multivesicular body protein 1a","Day7_brown"
"23","crg04144","Endocytosis","crg:105324517","G protein-coupled receptor kinase 5 isoform X2","Day7_brown"
"24","crg04144","Endocytosis","crg:105326718","ras-related protein Rab-11B-like","Day7_brown"
"25","crg04144","Endocytosis","crg:105330118","Egfr; epidermal growth factor receptor precursor","Day7_brown"
"26","crg04144","Endocytosis","crg:105331606","vacuolar protein sorting-associated protein 4B-like isoform X1","Day7_brown"
"27","crg04144","Endocytosis","crg:105332048","ARF GTPase-activating protein GIT2 isoform X1","Day7_brown"
"28","crg04144","Endocytosis","crg:105332783","beta-arrestin-1 isoform X1","Day7_brown"
"29","crg04144","Endocytosis","crg:105333773","charged multivesicular body protein 2b isoform X2","Day7_brown"
"30","crg04144","Endocytosis","crg:105333900","hepatocyte growth factor-regulated tyrosine kinase substrate-like isoform X1","Day7_brown"
"31","crg04144","Endocytosis","crg:105334311","ras-related protein Rab-11A","Day7_brown"
"32","crg04144","Endocytosis","crg:105334470","arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 isoform X1","Day7_brown"
"33","crg04144","Endocytosis","crg:105334480","F-actin-capping protein subunit beta-like","Day7_brown"
"34","crg04144","Endocytosis","crg:105334890","F-actin-capping protein subunit alpha-1 isoform X1","Day7_brown"
"35","crg04144","Endocytosis","crg:105339958","cation-independent mannose-6-phosphate receptor","Day7_brown"
"36","crg04144","Endocytosis","crg:105343449","NEDD4-like E3 ubiquitin-protein ligase WWP1 isoform X1","Day7_brown"
