"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g003480","signal transduction",0.0425832021772375,"GO:0007166","cell surface receptor signaling pathway","BP","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)"
"2","PGEN_.00g003480","cell junction organization",0.00507281742723644,"GO:0051965","positive regulation of synapse assembly","BP","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)"
"3","PGEN_.00g003480","anatomical structure development",0.00507281742723644,"GO:0051965","positive regulation of synapse assembly","BP","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)"
"4","PGEN_.00g003480","cellular component assembly",0.00507281742723644,"GO:0051965","positive regulation of synapse assembly","BP","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)"
"5","PGEN_.00g018860","biosynthetic process",0.0355970523522719,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","SNW domain-containing protein 1 (Nuclear protein SkiP) (Ski-interacting protein)"
"6","PGEN_.00g018860","transcription, DNA-templated",0.0355970523522719,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","SNW domain-containing protein 1 (Nuclear protein SkiP) (Ski-interacting protein)"
"7","PGEN_.00g018860","cellular nitrogen compound metaboli...",0.0355970523522719,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","SNW domain-containing protein 1 (Nuclear protein SkiP) (Ski-interacting protein)"
"8","PGEN_.00g034140","transcription, DNA-templated",0.0355970523522719,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","Transcription factor MafK"
"9","PGEN_.00g034140","cellular nitrogen compound metaboli...",0.0355970523522719,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","Transcription factor MafK"
"10","PGEN_.00g034140","biosynthetic process",0.0355970523522719,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","Transcription factor MafK"
