"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g034140","DNA binding",0.00075645834810805,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Transcription factor MafK"
"2","PGEN_.00g034140","DNA binding",0.0043472044667809,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Transcription factor MafK"
"3","PGEN_.00g083640","DNA binding",0.00075645834810805,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"4","PGEN_.00g083640","DNA-binding transcription factor ac...",0.039492936042851,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"5","PGEN_.00g083640","DNA binding",0.0043472044667809,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"6","PGEN_.00g104810","DNA binding",0.0043472044667809,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Signal transducer and activator of transcription 5A"
"7","PGEN_.00g104810","DNA binding",0.00075645834810805,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Signal transducer and activator of transcription 5A"
"8","PGEN_.00g104810","DNA-binding transcription factor ac...",0.039492936042851,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Signal transducer and activator of transcription 5A"
"9","PGEN_.00g160860","DNA-binding transcription factor ac...",0.039492936042851,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"10","PGEN_.00g160860","DNA binding",0.0043472044667809,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"11","PGEN_.00g160860","DNA binding",0.00075645834810805,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"12","PGEN_.00g164100","DNA-binding transcription factor ac...",0.039492936042851,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"13","PGEN_.00g164100","DNA binding",0.00075645834810805,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"14","PGEN_.00g164100","DNA binding",0.0043472044667809,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"15","PGEN_.00g271820","DNA binding",0.00075645834810805,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)"
"16","PGEN_.00g271820","DNA binding",0.0043472044667809,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)"
"17","PGEN_.00g302170","DNA binding",0.00075645834810805,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Nuclear receptor subfamily 1 group D member 2 (EAR4) (Rev-erb-beta)"
"18","PGEN_.00g302170","DNA binding",0.0043472044667809,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Nuclear receptor subfamily 1 group D member 2 (EAR4) (Rev-erb-beta)"
"19","PGEN_.00g316700","DNA-binding transcription factor ac...",0.039492936042851,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (MmTRA1b)"
