name	term	lev	seq	value
"nucleic acid binding"	GO:0003676	1	PGEN_.00g082950	-2.18180257957352
"nucleic acid binding"	GO:0003676	1	PGEN_.00g122110	2.31917232164453
"nucleic acid binding"	GO:0003676	1	PGEN_.00g188250	2.90489739685297
"nucleic acid binding"	GO:0003676	1	PGEN_.00g205860	3.53687840342772
"nucleic acid binding"	GO:0003676	1	PGEN_.00g215190	-1.31923684327079
"calcium ion binding"	GO:0005509;GO:0046872	1	PGEN_.00g041940	4.05801132614633
"calcium ion binding"	GO:0005509;GO:0046872	1	PGEN_.00g066340	3.95218770279158
"calcium ion binding"	GO:0005509;GO:0046872	1	PGEN_.00g119470	3.70836093660859
"calcium ion binding"	GO:0005509;GO:0046872	1	PGEN_.00g332980	4.29712444465146
"calcium ion binding"	GO:0005509;GO:0046872	1	PGEN_.00g348040	4.0734759320991
"transporter activity"	GO:0005215	1	PGEN_.00g044960	3.28233445305782
"transporter activity"	GO:0005215	1	PGEN_.00g093430	-4.69238349566143
"transporter activity"	GO:0005215	1	PGEN_.00g114780	-5.85094724917215
"transporter activity"	GO:0005215	1	PGEN_.00g258930	-8.23704321979617
"transporter activity"	GO:0005215	1	PGEN_.00g312840	-8.28755911153309
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	PGEN_.00g024000	-10.1206514668635
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	PGEN_.00g215970	-1.25791769663445
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	PGEN_.00g261000	2.64953511183
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	PGEN_.00g339220	4.61056180766694
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	PGEN_.00g339230	5.30839308240351
