"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g019670","biosynthetic process",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha)"
"2","PGEN_.00g019670","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha)"
"3","PGEN_.00g036410","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","PHD finger protein 6"
"4","PGEN_.00g036410","biosynthetic process",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","PHD finger protein 6"
"5","PGEN_.00g048200","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","NAD-dependent protein deacetylase sirtuin-1 (hSIRT1)"
"6","PGEN_.00g048200","biosynthetic process",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","NAD-dependent protein deacetylase sirtuin-1 (hSIRT1)"
"7","PGEN_.00g064910","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Polycomb protein EED"
"8","PGEN_.00g064910","biosynthetic process",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Polycomb protein EED"
"9","PGEN_.00g147990","biosynthetic process",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","T-box transcription factor TBX3 (T-box protein 3) (Fragment)"
"10","PGEN_.00g147990","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","T-box transcription factor TBX3 (T-box protein 3) (Fragment)"
"11","PGEN_.00g168650","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Ataxin-1 (Spinocerebellar ataxia type 1 protein homolog)"
"12","PGEN_.00g168650","biosynthetic process",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Ataxin-1 (Spinocerebellar ataxia type 1 protein homolog)"
"13","PGEN_.00g192900","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","E3 ubiquitin-protein ligase UHRF1"
"14","PGEN_.00g192900","biosynthetic process",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","E3 ubiquitin-protein ligase UHRF1"
"15","PGEN_.00g213370","cellular nitrogen compound metaboli...",0.0471737331995575,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","black","Nuclear receptor subfamily 1 group D member 1 (Rev-erbA-alpha) (V-erbA-related protein 1) (EAR-1)"
