"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g034140","DNA binding",0.00165989504408821,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Transcription factor MafK"
"2","PGEN_.00g034140","DNA binding",0.0136961588858606,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Transcription factor MafK"
"3","PGEN_.00g083640","DNA binding",0.00165989504408821,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"4","PGEN_.00g083640","DNA binding",0.0136961588858606,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"5","PGEN_.00g104810","DNA binding",0.00165989504408821,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Signal transducer and activator of transcription 5A"
"6","PGEN_.00g104810","DNA binding",0.0136961588858606,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Signal transducer and activator of transcription 5A"
"7","PGEN_.00g160860","DNA binding",0.0136961588858606,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"8","PGEN_.00g160860","DNA binding",0.00165989504408821,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"9","PGEN_.00g164100","DNA binding",0.00165989504408821,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"10","PGEN_.00g164100","DNA binding",0.0136961588858606,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"11","PGEN_.00g271820","DNA binding",0.00165989504408821,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)"
"12","PGEN_.00g271820","DNA binding",0.0136961588858606,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)"
"13","PGEN_.00g302170","DNA binding",0.00165989504408821,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Nuclear receptor subfamily 1 group D member 2 (EAR4) (Rev-erb-beta)"
"14","PGEN_.00g302170","DNA binding",0.0136961588858606,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Nuclear receptor subfamily 1 group D member 2 (EAR4) (Rev-erb-beta)"
