"","substanceBXH","geneSymbol","moduleColor","Uniprot","HGNC","GO.terms","GO.description","GS.proteintotal_protein","p.GS.proteintotal_protein","MM.red","p.MM.red","MM.yellow","p.MM.yellow","MM.pink","p.MM.pink","MM.purple","p.MM.purple","MM.blue","p.MM.blue","MM.turquoise","p.MM.turquoise","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.green","p.MM.green","MM.magenta","p.MM.magenta"
"PGEN_.00g117980","PGEN_.00g117980","PGEN_.00g117980","red","P81439","EQST_ACTEQ","GO:0004869; GO:0005576","extracellular region [GO:0005576]; cysteine-type endopeptidase inhibitor activity [GO:0004869]",0.610491878419778,2.22843172722961e-07,0.866672446250117,3.64573186623212e-19,0.305338767444236,0.0176753434548329,0.016444546574514,0.900754922440682,-0.0203556825259933,0.877315216416524,0.359586986570131,0.00477535701879913,-0.0446700082976329,0.734682866793894,0.0795360662178497,0.545789132022288,0.076674805913746,0.560374711917884,0.113625931279731,0.387350431242909,-0.241647901652605,0.0628724459452521,0.00938698767923971,0.94325189298773
"PGEN_.00g236660","PGEN_.00g236660","PGEN_.00g236660","red",NA,NA,NA,NA,0.591866403077083,6.34080654678083e-07,0.831880667325629,1.82834322541416e-16,0.148103373888532,0.258766015200776,0.0156188257974948,0.905715005583256,-0.0858101762895839,0.514462741328362,0.349212330203018,0.00624257437606869,-0.132366260538334,0.313367535688161,-0.0543725023394187,0.679889903796772,-0.0253845947769647,0.847332613327225,0.0159022146030681,0.904012283003419,-0.253539032287516,0.0506232121004866,0.0812867143300365,0.536956387422673
"PGEN_.00g297720","PGEN_.00g297720","PGEN_.00g297720","red",NA,NA,NA,NA,0.586455999590729,8.48751500244424e-07,0.910478751513307,6.55518729716914e-24,0.400267792057867,0.00153040851343734,0.033873783600681,0.797225575147407,-0.0299467063361117,0.820316865914096,0.398774734530701,0.00159978996525639,-0.0540098854683241,0.681910440438518,0.0952694608929937,0.46901671302957,0.0515856088318745,0.695475260478322,0.108065672231722,0.411147908745124,-0.178745579862648,0.171793011409854,0.107143471583451,0.415174944016451
"PGEN_.00g087530","PGEN_.00g087530","PGEN_.00g087530","red","F7J220","SRCR1_PATPE","GO:0005044; GO:0006909; GO:0016021; GO:0030659; GO:0045087","cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021]; scavenger receptor activity [GO:0005044]; innate immune response [GO:0045087]; phagocytosis [GO:0006909]",0.557314125864332,3.74199900664349e-06,0.83797768054125,6.8492012857304e-17,0.55793547950941,3.63076546512694e-06,-0.0384338491582597,0.770628821201368,0.180139769841775,0.168419305906829,0.161345156665471,0.218109039021913,0.0883246229519546,0.502168943177588,0.187265079789589,0.15193076077037,0.10233364831827,0.436542988951573,0.145927489721429,0.265906226958676,-0.0719035584835553,0.585097704909871,-0.0959649920896655,0.465762767372304
"PGEN_.00g145490","PGEN_.00g145490","PGEN_.00g145490","red","A7MCS3","CP089_DANRE","GO:0005576; GO:0005829; GO:0016020","cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]",0.556253210521342,3.93930214256742e-06,0.936907654611458,3.7250947707026e-28,0.653361484927207,1.52423740345826e-08,0.007631477818465,0.953851794620018,0.203837178228059,0.1182520069654,0.298613388767363,0.0204741599428133,0.141769339121019,0.279915669164832,0.262815891089409,0.0424832228849108,0.215890440293099,0.0975795496934579,0.252776316105713,0.0513455107342093,-0.109003999230291,0.40707372785098,-0.0590075059270251,0.654264469858672
"PGEN_.00g122870","PGEN_.00g122870","PGEN_.00g122870","red","Q9JHA8","VWA7_MOUSE","GO:0005576","extracellular region [GO:0005576]",0.537394375410734,9.54154698142344e-06,0.959241396911698,1.59481466689661e-33,0.47586141693102,0.000121655568740941,0.0338088791153074,0.79760587185963,0.0479933695579194,0.715749917026349,0.439523112065098,0.000442152639853671,0.0166130483848923,0.899743193698515,0.104836406504602,0.425348206289307,0.12193708096118,0.35334467778944,0.192719274727523,0.140141739209511,-0.173006239504388,0.186200356602783,0.110822241863816,0.399246073407563
"PGEN_.00g147360","PGEN_.00g147360","PGEN_.00g147360","red",NA,NA,NA,NA,0.534881393655668,1.06925940328592e-05,0.881401636870777,1.51137056306812e-20,0.69401355709292,7.82456989449824e-10,-0.00448440124152299,0.97287278882768,0.227299910853362,0.0807134432850604,0.285385148540419,0.0270864611870932,0.208206488905172,0.110403126462459,0.319441614148857,0.0128502069203147,0.227291018012338,0.0807256268746235,0.314159728611145,0.0145045218853469,0.0132800008226476,0.919783100325567,0.000410853593373126,0.997514186183823
"PGEN_.00g188760","PGEN_.00g188760","PGEN_.00g188760","red","A8TX70","CO6A5_HUMAN","GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0062023","collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cell adhesion [GO:0007155]",0.533472525670465,1.13930973084162e-05,0.929151135932146,9.64726645794552e-27,0.743560149443782,1.008356994769e-11,-0.0171792940207522,0.896344478840915,0.247728822402268,0.0563399480295892,0.259192024027522,0.0455243619580386,0.170813395574259,0.191928374218618,0.343418013663628,0.00722308938633049,0.228720398204021,0.0787859047182776,0.295100334225334,0.0220800913160568,-0.0282637582324319,0.830260489792235,-0.0854285174085805,0.51634199909356
"PGEN_.00g110490","PGEN_.00g110490","PGEN_.00g110490","red","Q90632","MOT3_CHICK","GO:0005887; GO:0008028; GO:0015129; GO:0015293; GO:0015718","integral component of plasma membrane [GO:0005887]; lactate transmembrane transporter activity [GO:0015129]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]; monocarboxylic acid transport [GO:0015718]",0.526224812114061,1.57210205654182e-05,0.684186316297827,1.67537434211815e-09,0.335603469256467,0.00875715059473994,0.190194844337369,0.145510007666559,0.0633588024630497,0.630562758276655,0.582506431278526,1.04661124932418e-06,0.0833574487061376,0.52659985804959,0.181823686812108,0.164409393723648,0.265391899215525,0.040424816482207,0.338468680846578,0.00816460868486127,0.0969990935005324,0.460947531988009,0.392272996401348,0.00193593693439443
"PGEN_.00g275670","PGEN_.00g275670","PGEN_.00g275670","red",NA,NA,NA,NA,0.522294856231209,1.86627112704497e-05,0.827302714539582,3.72560044126905e-16,0.415098869405029,0.000974236333555793,0.0509880697529455,0.698833568100066,0.0866556240280448,0.510312191016637,0.279615781937146,0.0304878921456478,-0.0654681439508254,0.619203065189659,0.0673597192391513,0.609090813333207,-0.00327606343030827,0.980180577682425,0.0619274689686543,0.638320025151916,-0.153796567434257,0.240700131175415,0.0243661521884578,0.853388682549843
