"","geneSymbol","Genes"
"1","PGEN_.00g002440","Cytochrome P450 10 (EC 1.14.-.-) (CYPX)"
"2","PGEN_.00g021170","Kinesin light chain (KLC)"
"3","PGEN_.00g022390","G patch domain-containing protein 2"
"4","PGEN_.00g027620","V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar proton pump subunit D)"
"5","PGEN_.00g027840","Endoribonuclease Dicer (EC 3.1.26.3)"
"6","PGEN_.00g028410",NA
"7","PGEN_.00g036250","Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)"
"8","PGEN_.00g036290",NA
"9","PGEN_.00g055760","Charged multivesicular body protein 6-A (Chromatin-modifying protein 6-A)"
"10","PGEN_.00g057780","ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)"
"11","PGEN_.00g071610","Death-associated inhibitor of apoptosis 1 (EC 2.3.2.27) (Apoptosis 1 inhibitor) (E3 ubiquitin-protein ligase th) (Inhibitor of apoptosis 1) (Protein thread) (RING-type E3 ubiquitin transferase Diap1)"
"12","PGEN_.00g072090","Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (E3 ubiquitin-protein ligase EIAP) (Embryonic/Egg IAP) (EIAP/XLX) (RING-type E3 ubiquitin transferase BIRC7)"
"13","PGEN_.00g082240","Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase)"
"14","PGEN_.00g087550",NA
"15","PGEN_.00g089630","Fatty acid hydroxylase domain-containing protein 2"
"16","PGEN_.00g093570",NA
"17","PGEN_.00g111730","V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha)"
"18","PGEN_.00g118050","Tetraspanin-31 (Tspan-31) (Sarcoma-amplified sequence homolog)"
"19","PGEN_.00g120030","Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)"
"20","PGEN_.00g131010","Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin)"
"21","PGEN_.00g132070","Vacuolar protein sorting-associated protein 29 (Vesicle protein sorting 29)"
"22","PGEN_.00g155140","Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)"
"23","PGEN_.00g179020","Homeobox protein araucan"
"24","PGEN_.00g187600","Centrosomal protein of 192 kDa (Cep192) (Cep192/SPD-2)"
"25","PGEN_.00g192880","Chitin synthase (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase)"
"26","PGEN_.00g200590","Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase)"
"27","PGEN_.00g206440","DNA repair protein complementing XP-C cells homolog (Xeroderma pigmentosum group C-complementing protein homolog) (p125)"
"28","PGEN_.00g208790","TBC1 domain family member 25"
"29","PGEN_.00g219730","Zinc finger protein 862"
"30","PGEN_.00g222360","Protein shifted (WIF-1-like protein)"
"31","PGEN_.00g231540",NA
"32","PGEN_.00g231610",NA
"33","PGEN_.00g236660",NA
"34","PGEN_.00g236680","Zinc finger protein 28 (Zfp-28) (Protein mKR5)"
"35","PGEN_.00g254970",NA
"36","PGEN_.00g269040","116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain protein 2) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)"
"37","PGEN_.00g282910","FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)"
"38","PGEN_.00g304970","Vertnin"
"39","PGEN_.00g313730","WASH complex subunit 2A"
"40","PGEN_.00g313840","Probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (PDHE1-A) (EC 1.2.4.1)"
"41","PGEN_.00g316320","Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)"
"42","PGEN_.00g317830","Solute carrier family 12 member 9"
"43","PGEN_.00g319490","tRNA pseudouridine(38/39) synthase (EC 5.4.99.45) (tRNA pseudouridine synthase 3) (tRNA pseudouridylate synthase 3) (tRNA-uridine isomerase 3)"
"44","PGEN_.00g338720","Zinc finger protein 26 (Zfp-26) (Protein mKR3)"
