"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g004690","cellular nitrogen compound metaboli...",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)"
"2","PGEN_.00g004690","cellular nitrogen compound metaboli...",0.0266316796547723,"GO:0006357","regulation of transcription by RNA polymerase II","BP","red","Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)"
"3","PGEN_.00g004690","biosynthetic process",0.0266316796547723,"GO:0006357","regulation of transcription by RNA polymerase II","BP","red","Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)"
"4","PGEN_.00g005330","cellular nitrogen compound metaboli...",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"5","PGEN_.00g005330","DNA metabolic process",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"6","PGEN_.00g005330","cellular nitrogen compound metaboli...",0.0266316796547723,"GO:0006357","regulation of transcription by RNA polymerase II","BP","red","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"7","PGEN_.00g005330","response to stress",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"8","PGEN_.00g014630","response to stress",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Chromatin-remodeling ATPase INO80"
"9","PGEN_.00g014630","cellular nitrogen compound metaboli...",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Chromatin-remodeling ATPase INO80"
"10","PGEN_.00g014630","DNA metabolic process",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Chromatin-remodeling ATPase INO80"
"11","PGEN_.00g014630","cellular nitrogen compound metaboli...",0.0266316796547723,"GO:0006357","regulation of transcription by RNA polymerase II","BP","red","Chromatin-remodeling ATPase INO80"
"12","PGEN_.00g017110","cellular nitrogen compound metaboli...",0.0266316796547723,"GO:0006357","regulation of transcription by RNA polymerase II","BP","red","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"13","PGEN_.00g017110","cellular nitrogen compound metaboli...",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"14","PGEN_.00g017110","biosynthetic process",0.0266316796547723,"GO:0006357","regulation of transcription by RNA polymerase II","BP","red","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"15","PGEN_.00g019700","signal transduction",0.0142144534141465,"GO:0035556","intracellular signal transduction","BP","red","Mitogen-activated protein kinase kinase kinase kinase 3"
"16","PGEN_.00g026380","response to stress",0.00676058053271132,"GO:0006281","DNA repair","BP","red","Proteasome activator complex subunit 4 (Proteasome activator PA200)"
