"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g007310","oxidoreductase activity",0.00407178188506614,"GO:0052716","hydroquinone:oxygen oxidoreductase activity","MF","black","Putative ferric-chelate reductase 1 homolog (DmSDR2)"
"2","PGEN_.00g007310","oxidoreductase activity",0.0029454042548297,"GO:0003954","NADH dehydrogenase activity","MF","black","Putative ferric-chelate reductase 1 homolog (DmSDR2)"
"3","PGEN_.00g007310","oxidoreductase activity",0.000231445098529955,"GO:0016716","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF","black","Putative ferric-chelate reductase 1 homolog (DmSDR2)"
"4","PGEN_.00g007310","oxidoreductase activity",0.0173439698448832,"GO:0000293","ferric-chelate reductase activity","MF","black","Putative ferric-chelate reductase 1 homolog (DmSDR2)"
"5","PGEN_.00g007310","oxidoreductase activity",0.0200376989245727,"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","MF","black","Putative ferric-chelate reductase 1 homolog (DmSDR2)"
"6","PGEN_.00g008640","ion binding",0.00858902433701706,"GO:0000287","magnesium ion binding","MF","black","Phosphoglucomutase-1 (PGM 1)"
"7","PGEN_.00g008640","ion binding",0.00348055579637358,"GO:0070679","inositol 1,4,5 trisphosphate binding","MF","black","Phosphoglucomutase-1 (PGM 1)"
"8","PGEN_.00g008640","ion binding",0.000760506876163841,"GO:0005507","copper ion binding","MF","black","Phosphoglucomutase-1 (PGM 1)"
"9","PGEN_.00g015860","transcription factor binding",0.0281037002626206,"GO:0001103","RNA polymerase II repressing transcription factor binding","MF","black","Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)]"
"10","PGEN_.00g022340","oxidoreductase activity",0.0029454042548297,"GO:0003954","NADH dehydrogenase activity","MF","black","Laccase-1"
"11","PGEN_.00g022340","oxidoreductase activity",0.000231445098529955,"GO:0016716","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF","black","Laccase-1"
"12","PGEN_.00g022340","oxidoreductase activity",0.0200376989245727,"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","MF","black","Laccase-1"
"13","PGEN_.00g022340","oxidoreductase activity",0.0173439698448832,"GO:0000293","ferric-chelate reductase activity","MF","black","Laccase-1"
"14","PGEN_.00g022340","ion binding",0.00348055579637358,"GO:0070679","inositol 1,4,5 trisphosphate binding","MF","black","Laccase-1"
"15","PGEN_.00g022340","ion binding",0.00858902433701706,"GO:0000287","magnesium ion binding","MF","black","Laccase-1"
"16","PGEN_.00g022340","ion binding",0.000760506876163841,"GO:0005507","copper ion binding","MF","black","Laccase-1"
"17","PGEN_.00g022340","oxidoreductase activity",0.00407178188506614,"GO:0052716","hydroquinone:oxygen oxidoreductase activity","MF","black","Laccase-1"
"18","PGEN_.00g028060","ion binding",0.00348055579637358,"GO:0070679","inositol 1,4,5 trisphosphate binding","MF","black","Enolase-phosphatase E1"
"19","PGEN_.00g028060","ion binding",0.00858902433701706,"GO:0000287","magnesium ion binding","MF","black","Enolase-phosphatase E1"
"20","PGEN_.00g028060","ion binding",0.000760506876163841,"GO:0005507","copper ion binding","MF","black","Enolase-phosphatase E1"
"21","PGEN_.00g042540","transmembrane transporter activity",0.00139850526341211,"GO:0005452","inorganic anion exchanger activity","MF","black","Prestin (Solute carrier family 26 member 5)"
"22","PGEN_.00g042540","transmembrane transporter activity",0.00887248093480479,"GO:0005220","inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity","MF","black","Prestin (Solute carrier family 26 member 5)"
"23","PGEN_.00g042540","transmembrane transporter activity",0.0496399530969937,"GO:0015301","anion:anion antiporter activity","MF","black","Prestin (Solute carrier family 26 member 5)"
"24","PGEN_.00g042540","transmembrane transporter activity",0.00543343136230693,"GO:0008510","sodium:bicarbonate symporter activity","MF","black","Prestin (Solute carrier family 26 member 5)"
"25","PGEN_.00g042540","transmembrane transporter activity",0.01737555920419,"GO:0008271","secondary active sulfate transmembrane transporter activity","MF","black","Prestin (Solute carrier family 26 member 5)"
"26","PGEN_.00g042540","transmembrane transporter activity",0.00600205964089523,"GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","MF","black","Prestin (Solute carrier family 26 member 5)"
"27","PGEN_.00g045080","ion binding",0.000760506876163841,"GO:0005507","copper ion binding","MF","black","Putative tyrosinase-like protein tyr-3"
"28","PGEN_.00g045080","oxidoreductase activity",0.000231445098529955,"GO:0016716","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF","black","Putative tyrosinase-like protein tyr-3"
"29","PGEN_.00g045080","oxidoreductase activity",0.0200376989245727,"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","MF","black","Putative tyrosinase-like protein tyr-3"
"30","PGEN_.00g045080","oxidoreductase activity",0.0173439698448832,"GO:0000293","ferric-chelate reductase activity","MF","black","Putative tyrosinase-like protein tyr-3"
"31","PGEN_.00g045080","ion binding",0.00348055579637358,"GO:0070679","inositol 1,4,5 trisphosphate binding","MF","black","Putative tyrosinase-like protein tyr-3"
"32","PGEN_.00g045080","oxidoreductase activity",0.00407178188506614,"GO:0052716","hydroquinone:oxygen oxidoreductase activity","MF","black","Putative tyrosinase-like protein tyr-3"
"33","PGEN_.00g045080","ion binding",0.00858902433701706,"GO:0000287","magnesium ion binding","MF","black","Putative tyrosinase-like protein tyr-3"
"34","PGEN_.00g045080","oxidoreductase activity",0.0029454042548297,"GO:0003954","NADH dehydrogenase activity","MF","black","Putative tyrosinase-like protein tyr-3"
"35","PGEN_.00g079140","ion binding",0.000760506876163841,"GO:0005507","copper ion binding","MF","black","Transient receptor potential-gamma protein (TRPgamma) (Transient receptor potential cation channel gamma)"
"36","PGEN_.00g079140","ion binding",0.00348055579637358,"GO:0070679","inositol 1,4,5 trisphosphate binding","MF","black","Transient receptor potential-gamma protein (TRPgamma) (Transient receptor potential cation channel gamma)"
"37","PGEN_.00g079140","ion binding",0.00858902433701706,"GO:0000287","magnesium ion binding","MF","black","Transient receptor potential-gamma protein (TRPgamma) (Transient receptor potential cation channel gamma)"
"38","PGEN_.00g115870","enzyme binding",0.0251049598282399,"GO:1990782","protein tyrosine kinase binding","MF","black","Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2)"
"39","PGEN_.00g115870","enzyme binding",0.013905119288881,"GO:0043422","protein kinase B binding","MF","black","Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2)"
"40","PGEN_.00g122640","RNA binding",0.0273766471597318,"GO:0008266","poly(U) RNA binding","MF","black","Heterogeneous nuclear ribonucleoprotein 87F (HRP36.1 protein) (Protein P11)"
"41","PGEN_.00g122640","mRNA binding",0.0363363190415758,"GO:0003730","mRNA 3'-UTR binding","MF","black","Heterogeneous nuclear ribonucleoprotein 87F (HRP36.1 protein) (Protein P11)"
