"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g004170","cytoskeletal protein binding",0.00377161036572883,"GO:0008017","microtubule binding","MF","magenta","Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Pr22 protein) (Prosolin) (pp17)"
"2","PGEN_.00g004170","cytoskeletal protein binding",0.0060284702696035,"GO:0015631","tubulin binding","MF","magenta","Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Pr22 protein) (Prosolin) (pp17)"
"3","PGEN_.00g008010","nuclease activity",0.000351709049530602,"GO:0000014","single-stranded DNA endodeoxyribonuclease activity","MF","magenta","Poly(U)-specific endoribonuclease-B"
"4","PGEN_.00g008010","nuclease activity",0.00314931108576829,"GO:0008409","5'-3' exonuclease activity","MF","magenta","Poly(U)-specific endoribonuclease-B"
"5","PGEN_.00g008010","nuclease activity",0.00311281518170199,"GO:0004521","endoribonuclease activity","MF","magenta","Poly(U)-specific endoribonuclease-B"
"6","PGEN_.00g013740","cytoskeletal protein binding",0.0060284702696035,"GO:0015631","tubulin binding","MF","magenta","Echinoderm microtubule-associated protein-like 1 (EMAP-1)"
"7","PGEN_.00g013740","cytoskeletal protein binding",0.00377161036572883,"GO:0008017","microtubule binding","MF","magenta","Echinoderm microtubule-associated protein-like 1 (EMAP-1)"
"8","PGEN_.00g019210","peptidase activity",0.00425161491177467,"GO:0004298","threonine-type endopeptidase activity","MF","magenta","Proteasome subunit alpha type-6"
"9","PGEN_.00g019210","peptidase activity",0.0233242602085265,"GO:0008234","cysteine-type peptidase activity","MF","magenta","Proteasome subunit alpha type-6"
"10","PGEN_.00g020710","RNA binding",0.00032582754414723,"GO:0000049","tRNA binding","MF","magenta","Nucleic acid dioxygenase ALKBH1"
"11","PGEN_.00g020710","RNA binding",0.0134031593889517,"GO:0003746","translation elongation factor activity","MF","magenta","Nucleic acid dioxygenase ALKBH1"
"12","PGEN_.00g020710","RNA binding",0.0221285507645422,"GO:0019843","rRNA binding","MF","magenta","Nucleic acid dioxygenase ALKBH1"
"13","PGEN_.00g021960","structural molecule activity",3.27978002738896e-05,"GO:0003735","structural constituent of ribosome","MF","magenta","28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt)"
"14","PGEN_.00g030980","enzyme binding",0.00134123059932392,"GO:0051020","GTPase binding","MF","magenta","Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)"
"15","PGEN_.00g032110","RNA binding",0.0221285507645422,"GO:0019843","rRNA binding","MF","magenta","D-aminoacyl-tRNA deacylase 2"
"16","PGEN_.00g032110","RNA binding",0.00032582754414723,"GO:0000049","tRNA binding","MF","magenta","D-aminoacyl-tRNA deacylase 2"
"17","PGEN_.00g032110","RNA binding",0.0134031593889517,"GO:0003746","translation elongation factor activity","MF","magenta","D-aminoacyl-tRNA deacylase 2"
"18","PGEN_.00g033030","ion binding",0.0072626140058627,"GO:0005524","ATP binding","MF","magenta","Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin superfamily protein 10) (KIF10) (Motor domain of KIF10)"
"19","PGEN_.00g033030","cytoskeletal protein binding",0.0060284702696035,"GO:0015631","tubulin binding","MF","magenta","Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin superfamily protein 10) (KIF10) (Motor domain of KIF10)"
"20","PGEN_.00g033030","cytoskeletal protein binding",0.00377161036572883,"GO:0008017","microtubule binding","MF","magenta","Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin superfamily protein 10) (KIF10) (Motor domain of KIF10)"
"21","PGEN_.00g033030","ion binding",0.0421425723130168,"GO:0005525","GTP binding","MF","magenta","Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin superfamily protein 10) (KIF10) (Motor domain of KIF10)"
"22","PGEN_.00g033030","ion binding",0.0240062969830789,"GO:0043531","ADP binding","MF","magenta","Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin superfamily protein 10) (KIF10) (Motor domain of KIF10)"
"23","PGEN_.00g033030","ion binding",0.0125854650335361,"GO:0016597","amino acid binding","MF","magenta","Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin superfamily protein 10) (KIF10) (Motor domain of KIF10)"
"24","PGEN_.00g033890","ion binding",0.0072626140058627,"GO:0005524","ATP binding","MF","magenta","Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)"
"25","PGEN_.00g033890","ion binding",0.0240062969830789,"GO:0043531","ADP binding","MF","magenta","Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)"
"26","PGEN_.00g033890","ion binding",0.0421425723130168,"GO:0005525","GTP binding","MF","magenta","Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)"
"27","PGEN_.00g033890","ion binding",0.0125854650335361,"GO:0016597","amino acid binding","MF","magenta","Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)"
"28","PGEN_.00g041570","nuclease activity",0.00314931108576829,"GO:0008409","5'-3' exonuclease activity","MF","magenta","Double-strand break repair protein MRE11"
"29","PGEN_.00g041570","nuclease activity",0.000351709049530602,"GO:0000014","single-stranded DNA endodeoxyribonuclease activity","MF","magenta","Double-strand break repair protein MRE11"
"30","PGEN_.00g041570","nuclease activity",0.00311281518170199,"GO:0004521","endoribonuclease activity","MF","magenta","Double-strand break repair protein MRE11"
"31","PGEN_.00g042000","ion binding",0.0072626140058627,"GO:0005524","ATP binding","MF","magenta","ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)"
"32","PGEN_.00g042000","ion binding",0.0125854650335361,"GO:0016597","amino acid binding","MF","magenta","ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)"
"33","PGEN_.00g042000","ion binding",0.0240062969830789,"GO:0043531","ADP binding","MF","magenta","ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)"
"34","PGEN_.00g042000","ion binding",0.0421425723130168,"GO:0005525","GTP binding","MF","magenta","ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)"
"35","PGEN_.00g042450","ion binding",0.0240062969830789,"GO:0043531","ADP binding","MF","magenta","Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)"
"36","PGEN_.00g042450","ion binding",0.0421425723130168,"GO:0005525","GTP binding","MF","magenta","Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)"
"37","PGEN_.00g042450","ion binding",0.0072626140058627,"GO:0005524","ATP binding","MF","magenta","Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)"
"38","PGEN_.00g042450","ion binding",0.0125854650335361,"GO:0016597","amino acid binding","MF","magenta","Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)"
