"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g000300","ion binding",0.00702041562645424,"GO:0000062","fatty-acyl-CoA binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"2","PGEN_.00g000300","ion binding",0.0319569452347198,"GO:0030976","thiamine pyrophosphate binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"3","PGEN_.00g000300","ion binding",0.0378722196544237,"GO:0043295","glutathione binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"4","PGEN_.00g000300","ion binding",0.0125027816594352,"GO:0008270","zinc ion binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"5","PGEN_.00g000300","ion binding",0.0115766943699073,"GO:0005504","fatty acid binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"6","PGEN_.00g000300","ion binding",0.00278771630963945,"GO:0019003","GDP binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"7","PGEN_.00g000300","ion binding",0.018873007677502,"GO:0046872","metal ion binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"8","PGEN_.00g000300","ion binding",0.0220044475038426,"GO:0005507","copper ion binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"9","PGEN_.00g000300","ion binding",0.0103784994258221,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"10","PGEN_.00g000300","ion binding",0.0477962265119151,"GO:0050660","flavin adenine dinucleotide binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"11","PGEN_.00g000300","ion binding",0.00994885398068628,"GO:0035091","phosphatidylinositol binding","MF","blue","Probable E3 ubiquitin-protein ligase DTX3"
"12","PGEN_.00g000490","ion binding",0.00278771630963945,"GO:0019003","GDP binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"13","PGEN_.00g000490","ion binding",0.0125027816594352,"GO:0008270","zinc ion binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"14","PGEN_.00g000490","ion binding",0.0319569452347198,"GO:0030976","thiamine pyrophosphate binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"15","PGEN_.00g000490","methyltransferase activity",0.0202798664774863,"GO:0030745","dimethylhistidine N-methyltransferase activity","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"16","PGEN_.00g000490","methyltransferase activity",0.0378119337918673,"GO:0008175","tRNA methyltransferase activity","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"17","PGEN_.00g000490","ion binding",0.0220044475038426,"GO:0005507","copper ion binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"18","PGEN_.00g000490","ion binding",0.00994885398068628,"GO:0035091","phosphatidylinositol binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"19","PGEN_.00g000490","ion binding",0.0103784994258221,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"20","PGEN_.00g000490","ion binding",0.0115766943699073,"GO:0005504","fatty acid binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"21","PGEN_.00g000490","ion binding",0.0378722196544237,"GO:0043295","glutathione binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"22","PGEN_.00g000490","ion binding",0.00702041562645424,"GO:0000062","fatty-acyl-CoA binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"23","PGEN_.00g000490","ion binding",0.0477962265119151,"GO:0050660","flavin adenine dinucleotide binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"24","PGEN_.00g000490","ion binding",0.018873007677502,"GO:0046872","metal ion binding","MF","blue","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase"
"25","PGEN_.00g000600","ion binding",0.00702041562645424,"GO:0000062","fatty-acyl-CoA binding","MF","blue","Xylose isomerase"
"26","PGEN_.00g000600","ion binding",0.0125027816594352,"GO:0008270","zinc ion binding","MF","blue","Xylose isomerase"
"27","PGEN_.00g000600","ion binding",0.0378722196544237,"GO:0043295","glutathione binding","MF","blue","Xylose isomerase"
"28","PGEN_.00g000600","ion binding",0.0103784994258221,"GO:0032266","phosphatidylinositol-3-phosphate binding","MF","blue","Xylose isomerase"
"29","PGEN_.00g000600","ion binding",0.0115766943699073,"GO:0005504","fatty acid binding","MF","blue","Xylose isomerase"
"30","PGEN_.00g000600","ion binding",0.0220044475038426,"GO:0005507","copper ion binding","MF","blue","Xylose isomerase"
"31","PGEN_.00g000600","ion binding",0.00278771630963945,"GO:0019003","GDP binding","MF","blue","Xylose isomerase"
"32","PGEN_.00g000600","ion binding",0.0319569452347198,"GO:0030976","thiamine pyrophosphate binding","MF","blue","Xylose isomerase"
"33","PGEN_.00g000600","ion binding",0.0477962265119151,"GO:0050660","flavin adenine dinucleotide binding","MF","blue","Xylose isomerase"
"34","PGEN_.00g000600","ion binding",0.018873007677502,"GO:0046872","metal ion binding","MF","blue","Xylose isomerase"
"35","PGEN_.00g000600","ion binding",0.00994885398068628,"GO:0035091","phosphatidylinositol binding","MF","blue","Xylose isomerase"
"36","PGEN_.00g000970","transmembrane transporter activity",0.00391969899336144,"GO:0034634","glutathione transmembrane transporter activity","MF","blue","ATP-binding cassette sub-family D member 3 (68 kDa peroxisomal membrane protein) (PMP68) (70 kDa peroxisomal membrane protein) (PMP70)"
"37","PGEN_.00g000970","transmembrane transporter activity",0.00285257171685711,"GO:0042910","xenobiotic transmembrane transporter activity","MF","blue","ATP-binding cassette sub-family D member 3 (68 kDa peroxisomal membrane protein) (PMP68) (70 kDa peroxisomal membrane protein) (PMP70)"
