"","Gene_IDs","slim_term","slim_cat","Gene_count","module_day","Day","moduleColor","Uniprot","Gene_term_EC","gene"
"1","PGEN_.00g000300","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q5REG4","Probable E3 ubiquitin-protein ligase DTX3 (EC 2.3.2.27) (Protein deltex-3) (Deltex3) (RING-type E3 ubiquitin transferase DTX3)","Probable E3 ubiquitin-protein ligase DTX3 "
"2","PGEN_.00g000490","methyltransferase activity","GO:0008168",2,"Day21_blue","Day21","blue","Q7RX33","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase (EC 2.1.1.44); Hercynylcysteine S-oxide synthase (EC 1.14.99.51)]","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N"
"3","PGEN_.00g000490","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q7RX33","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase (EC 2.1.1.44); Hercynylcysteine S-oxide synthase (EC 1.14.99.51)]","Ergothioneine biosynthesis protein 1 [Includes: L-histidine N"
"4","PGEN_.00g000600","ion binding","GO:0043167",273,"Day21_blue","Day21","blue","Q9FKK7","Xylose isomerase (EC 5.3.1.5)","Xylose isomerase "
"5","PGEN_.00g000750","RNA binding","GO:0003723",53,"Day21_black","Day21","black","Q3B8M3","Eukaryotic translation initiation factor 3 subunit E-B (eIF3e-B) (Eukaryotic translation initiation factor 3 subunit 6-B)","Eukaryotic translation initiation factor 3 subunit E-B "
"6","PGEN_.00g000750","translation factor activity, RNA bi...","GO:0008135",9,"Day21_black","Day21","black","Q3B8M3","Eukaryotic translation initiation factor 3 subunit E-B (eIF3e-B) (Eukaryotic translation initiation factor 3 subunit 6-B)","Eukaryotic translation initiation factor 3 subunit E-B "
"7","PGEN_.00g000980","enzyme binding","GO:0019899",15,"Day21_pink","Day21","pink","Q9BQI6","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)","SMC5-SMC6 complex localization factor protein 1 "
"8","PGEN_.00g001030","ion binding","GO:0043167",66,"Day7_brown","Day7","brown","Q15831","Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)","Serine/threonine-protein kinase STK11 "
"9","PGEN_.00g001500","ion binding","GO:0043167",97,"Day21_yellow","Day21","yellow","Q86Y13","E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3) (RING-type E3 ubiquitin transferase DZIP3) (RNA-binding ubiquitin ligase of 138 kDa) (hRUL138)","E3 ubiquitin-protein ligase DZIP3 "
"10","PGEN_.00g001620","ion binding","GO:0043167",24,"Day7_green","Day7","green","P27169","Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)","Serum paraoxonase/arylesterase 1 "
