"","Gene.ID","down","Freq","up","description","GO.terms"
"1","PGEN_.00g003940",NA,3,TRUE,"Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)","GO:0004341; GO:0005509; GO:0005623; GO:0005634; GO:0005737; GO:0006874; GO:0008270; GO:0030234; GO:0032781; GO:0050848"
"2","PGEN_.00g027970",NA,3,TRUE,NA,NA
"3","PGEN_.00g057310",NA,3,TRUE,"Four-domain proteases inhibitor (McaPI)","GO:0004867"
"4","PGEN_.00g092270",TRUE,3,NA,"CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)","GO:0001933; GO:0001942; GO:0002576; GO:0004867; GO:0005576; GO:0005615; GO:0005829; GO:0005886; GO:0009986; GO:0010839; GO:0030512; GO:0031092; GO:0031225; GO:0045616; GO:0050431; GO:0061045; GO:0072675"
"5","PGEN_.00g130390",TRUE,3,NA,NA,NA
"6","PGEN_.00g133710",NA,3,TRUE,NA,NA
"7","PGEN_.00g158570",NA,3,TRUE,NA,NA
"8","PGEN_.00g162900",TRUE,3,NA,NA,NA
"9","PGEN_.00g169480",NA,3,TRUE,"Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)","GO:0000272; GO:0004553; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0005764; GO:0006032; GO:0006955; GO:0008061; GO:0008843; GO:0009617; GO:0035580; GO:0043312; GO:0044245; GO:1904724"
"10","PGEN_.00g188250",NA,3,TRUE,"Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]","GO:0000790; GO:0000978; GO:0002039; GO:0002223; GO:0003712; GO:0005615; GO:0005796; GO:0005886; GO:0005887; GO:0006977; GO:0006978; GO:0010944; GO:0016266; GO:0016324; GO:0019221; GO:0031982; GO:0033629; GO:0036003; GO:0043618; GO:0070062; GO:0090240; GO:1902166"
"11","PGEN_.00g199810",NA,3,TRUE,"Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)","GO:0004175; GO:0004252; GO:0005615; GO:0005791; GO:0005802; GO:0006508; GO:0009749; GO:0010035; GO:0010157; GO:0014070; GO:0016020; GO:0016485; GO:0016486; GO:0016540; GO:0021983; GO:0022008; GO:0030133; GO:0030141; GO:0030425; GO:0031016; GO:0031667; GO:0032496; GO:0034774; GO:0042493; GO:0042802; GO:0043005; GO:0043025; GO:0043043; GO:0043204; GO:0043278; GO:0043434; GO:0043559; GO:0043679; GO:0044877; GO:0048471; GO:0048678; GO:0050714; GO:0051087; GO:0051384; GO:0051592; GO:0070542; GO:0070555"
"12","PGEN_.00g211250",NA,3,TRUE,"Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)","GO:0005581; GO:0005623; GO:0010629; GO:0016020; GO:0035356; GO:0045444; GO:0045721; GO:0050715; GO:0050728; GO:0070062; GO:0070165; GO:0070206; GO:0071638; GO:1900165; GO:1901223"
"13","PGEN_.00g266130",TRUE,3,NA,"Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF) (Pancreatic intrinsic factor)","GO:0005576; GO:0006824; GO:0015889; GO:0031419"
"14","PGEN_.00g272710",NA,3,TRUE,"Coadhesin (Fragment)","GO:0016021"
"15","PGEN_.00g279590",NA,3,TRUE,"Apolipoprotein D (Apo-D) (ApoD)","GO:0000302; GO:0005615; GO:0005783; GO:0006006; GO:0006629; GO:0006869; GO:0007420; GO:0007568; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0042493; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0071638; GO:1900016; GO:2000098; GO:2000405"
"16","PGEN_.00g291230",TRUE,3,NA,NA,NA
"17","PGEN_.00g295020",TRUE,3,NA,NA,NA
"18","PGEN_.00g313880",NA,3,TRUE,NA,NA
"19","PGEN_.00g333460",TRUE,3,NA,NA,NA
"20","PGEN_.00g340250",TRUE,3,NA,NA,NA
"21","PGEN_.00g348220",NA,3,TRUE,"Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]","GO:0004252; GO:0005615; GO:0005886; GO:0010765; GO:0016021; GO:0017080; GO:0019897; GO:0042493; GO:0043434; GO:0045121; GO:0046658; GO:0051385; GO:0070633; GO:1902307"
"22","PGEN_.00g348570",NA,3,TRUE,"Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]","GO:0004252; GO:0005615; GO:0005886; GO:0010765; GO:0016021; GO:0017080; GO:0019897; GO:0042493; GO:0043434; GO:0045121; GO:0046658; GO:0051385; GO:0070633; GO:1902307"
