"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g002290","oxidoreductase activity",0.00385827097187009,"GO:0004303","estradiol 17-beta-dehydrogenase activity","MF","Day21","Up","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"2","PGEN_.00g009930","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Neurotrypsin"
"3","PGEN_.00g009930","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Neurotrypsin"
"4","PGEN_.00g033640","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Plasma kallikrein"
"5","PGEN_.00g033640","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Plasma kallikrein"
"6","PGEN_.00g057130","hydrolase activity, acting on glyco...",0.00251940431114194,"GO:0004568","chitinase activity","MF","Day21","Up","Acidic mammalian chitinase (AMCase)"
"7","PGEN_.00g057170","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Plasma kallikrein"
"8","PGEN_.00g057170","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Plasma kallikrein"
"9","PGEN_.00g057190","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Plasma kallikrein"
"10","PGEN_.00g057190","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Plasma kallikrein"
"11","PGEN_.00g145340","enzyme regulator activity",0.00595836214329899,"GO:0008047","enzyme activator activity","MF","Day21","Up","SEC14-like protein 2 (Alpha-tocopherol-associated protein) (TAP) (Squalene transfer protein) (Supernatant protein factor) (SPF)"
"12","PGEN_.00g169480","hydrolase activity, acting on glyco...",0.00251940431114194,"GO:0004568","chitinase activity","MF","Day21","Up","Chitotriosidase-1"
"13","PGEN_.00g199810","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Neuroendocrine convertase 1 (NEC 1)"
"14","PGEN_.00g199810","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Neuroendocrine convertase 1 (NEC 1)"
"15","PGEN_.00g282850","oxidoreductase activity",0.00385827097187009,"GO:0004303","estradiol 17-beta-dehydrogenase activity","MF","Day21","Up","Estradiol 17-beta-dehydrogenase 8"
"16","PGEN_.00g327850","enzyme regulator activity",0.00595836214329899,"GO:0008047","enzyme activator activity","MF","Day21","Up","Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3)"
"17","PGEN_.00g345680","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Cathepsin L1"
"18","PGEN_.00g345680","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Cathepsin L1"
"19","PGEN_.00g348220","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Prostasin"
"20","PGEN_.00g348220","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Prostasin"
"21","PGEN_.00g348570","peptidase activity",0.0281478844091671,"GO:0004175","endopeptidase activity","MF","Day21","Up","Prostasin"
"22","PGEN_.00g348570","peptidase activity",2.90688446328418e-07,"GO:0004252","serine-type endopeptidase activity","MF","Day21","Up","Prostasin"
