"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g057310","enzyme regulator activity",0.0139848687213481,"GO:0004867","serine-type endopeptidase inhibitor activity","MF","Day7","Up","Four-domain proteases inhibitor (McaPI)"
"2","PGEN_.00g086610","enzyme regulator activity",0.0139848687213481,"GO:0004867","serine-type endopeptidase inhibitor activity","MF","Day7","Up","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"3","PGEN_.00g164540","peptidase activity",0.00409453519709903,"GO:0004222","metalloendopeptidase activity","MF","Day7","Up","Meprin A subunit beta"
"4","PGEN_.00g164540","peptidase activity",0.000149623185884743,"GO:0004252","serine-type endopeptidase activity","MF","Day7","Up","Meprin A subunit beta"
"5","PGEN_.00g164660","peptidase activity",0.00409453519709903,"GO:0004222","metalloendopeptidase activity","MF","Day7","Up","Meprin A subunit beta"
"6","PGEN_.00g164660","peptidase activity",0.000149623185884743,"GO:0004252","serine-type endopeptidase activity","MF","Day7","Up","Meprin A subunit beta"
"7","PGEN_.00g169390","transferase activity, transferring ...",0.00224282719134521,"GO:0004364","glutathione transferase activity","MF","Day7","Up","Pyrimidodiazepine synthase"
"8","PGEN_.00g169390","oxidoreductase activity",4.69091642027071e-05,"GO:0045174","glutathione dehydrogenase (ascorbate) activity","MF","Day7","Up","Pyrimidodiazepine synthase"
"9","PGEN_.00g180630","transferase activity, transferring ...",0.00224282719134521,"GO:0004364","glutathione transferase activity","MF","Day7","Up","Glutathione S-transferase omega-1 (GSTO-1)"
"10","PGEN_.00g180630","oxidoreductase activity",4.69091642027071e-05,"GO:0045174","glutathione dehydrogenase (ascorbate) activity","MF","Day7","Up","Glutathione S-transferase omega-1 (GSTO-1)"
"11","PGEN_.00g199810","peptidase activity",0.00409453519709903,"GO:0004222","metalloendopeptidase activity","MF","Day7","Up","Neuroendocrine convertase 1 (NEC 1)"
"12","PGEN_.00g199810","peptidase activity",0.000149623185884743,"GO:0004252","serine-type endopeptidase activity","MF","Day7","Up","Neuroendocrine convertase 1 (NEC 1)"
"13","PGEN_.00g285590","peptidase activity",0.000149623185884743,"GO:0004252","serine-type endopeptidase activity","MF","Day7","Up","A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7)"
"14","PGEN_.00g285590","peptidase activity",0.00409453519709903,"GO:0004222","metalloendopeptidase activity","MF","Day7","Up","A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7)"
"15","PGEN_.00g344990","peptidase activity",0.00409453519709903,"GO:0004222","metalloendopeptidase activity","MF","Day7","Up","Neurotrypsin"
"16","PGEN_.00g344990","peptidase activity",0.000149623185884743,"GO:0004252","serine-type endopeptidase activity","MF","Day7","Up","Neurotrypsin"
"17","PGEN_.00g348220","peptidase activity",0.00409453519709903,"GO:0004222","metalloendopeptidase activity","MF","Day7","Up","Prostasin"
"18","PGEN_.00g348220","peptidase activity",0.000149623185884743,"GO:0004252","serine-type endopeptidase activity","MF","Day7","Up","Prostasin"
"19","PGEN_.00g348570","peptidase activity",0.00409453519709903,"GO:0004222","metalloendopeptidase activity","MF","Day7","Up","Prostasin"
"20","PGEN_.00g348570","peptidase activity",0.000149623185884743,"GO:0004252","serine-type endopeptidase activity","MF","Day7","Up","Prostasin"
