"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g267990","Day14","Q9UJ83","2-hydroxyacyl-CoA lyase 1 ",3
"2","PGEN_.00g267990","Day7","Q9UJ83","2-hydroxyacyl-CoA lyase 1 ",3
"3","PGEN_.00g267990","Day21","Q9UJ83","2-hydroxyacyl-CoA lyase 1 ",3
"4","PGEN_.00g268270","Day14","Q9UJ83","2-hydroxyacyl-CoA lyase 1 ",3
"5","PGEN_.00g268270","Day21","Q9UJ83","2-hydroxyacyl-CoA lyase 1 ",3
"6","PGEN_.00g268270","Day7","Q9UJ83","2-hydroxyacyl-CoA lyase 1 ",3
"7","PGEN_.00g069180","Day7","Q6NYL3","Peroxisomal bifunctional enzyme ",2
"8","PGEN_.00g069180","Day14","Q6NYL3","Peroxisomal bifunctional enzyme ",2
"9","PGEN_.00g184550","Day14","O23300","Enoyl-CoA delta isomerase 3 ",2
"10","PGEN_.00g184550","Day7","O23300","Enoyl-CoA delta isomerase 3 ",2
"11","PGEN_.00g035840","Day21","Q8TBG4","Ethanolamine-phosphate phospho-lyase ",1
"12","PGEN_.00g041480","Day14","Q8BH95","Enoyl-CoA hydratase, mitochondrial ",1
"13","PGEN_.00g185730","Day21","Q8BWU8","Ethanolamine-phosphate phospho-lyase ",1
