"","geneSymbol","Genes"
"1","PGEN_.00g021940","Metastasis-associated protein MTA1"
"2","PGEN_.00g051530","Vacuolar protein 8"
"3","PGEN_.00g057780","ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)"
"4","PGEN_.00g069760","Guanine nucleotide exchange protein smcr8a (Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog A)"
"5","PGEN_.00g073190","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"6","PGEN_.00g094700",NA
"7","PGEN_.00g111730","V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha)"
"8","PGEN_.00g113510","Scavenger receptor cysteine-rich type 1 protein M160 (CD163 antigen-like 1) (CD antigen CD163b)"
"9","PGEN_.00g114430","V-type proton ATPase 116 kDa subunit a isoform 1 (V-ATPase 116 kDa isoform a1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1)"
"10","PGEN_.00g120030","Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)"
"11","PGEN_.00g120390","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)"
"12","PGEN_.00g121900","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic (GPD-C) (GPDH-C) (EC 1.1.1.8)"
"13","PGEN_.00g125900","Zinc finger protein 415"
"14","PGEN_.00g127120","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H)"
"15","PGEN_.00g132570","Rab5 GDP/GTP exchange factor (Rabex-5)"
"16","PGEN_.00g139160","Meiotic nuclear division protein 1 homolog"
"17","PGEN_.00g153080","Hermansky-Pudlak syndrome 5 protein (Alpha-integrin-binding protein 63) (Ruby-eye protein 2 homolog) (Ru2)"
"18","PGEN_.00g163410","Protein mab-21-like 3"
"19","PGEN_.00g177880","E3 ubiquitin-protein ligase AMFR (EC 2.3.2.27) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (RING-type E3 ubiquitin transferase AMFR) (gp78)"
"20","PGEN_.00g178990","Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog (LPS-induced TNF-alpha factor homolog) (Small integral membrane protein of lysosome/late endosome)"
"21","PGEN_.00g179020","Homeobox protein araucan"
"22","PGEN_.00g187600","Centrosomal protein of 192 kDa (Cep192) (Cep192/SPD-2)"
"23","PGEN_.00g188190","Solute carrier family 22 member 15"
"24","PGEN_.00g188970","Peptide methionine sulfoxide reductase (EC 1.8.4.11) (Ecdysone-induced protein 28/29 kDa) (Methionine-S-sulfoxide reductase) (Peptide-methionine (S)-S-oxide reductase)"
"25","PGEN_.00g199980",NA
"26","PGEN_.00g200590","Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase)"
"27","PGEN_.00g201290","Putative D-cysteine desulfhydrase 1, mitochondrial (EC 4.4.1.15) (OsD-CDes1) (D-CDes1)"
"28","PGEN_.00g201640","Coiled-coil domain-containing protein 112 (Mutated in bladder cancer protein 1)"
"29","PGEN_.00g206440","DNA repair protein complementing XP-C cells homolog (Xeroderma pigmentosum group C-complementing protein homolog) (p125)"
"30","PGEN_.00g215590",NA
"31","PGEN_.00g219470",NA
"32","PGEN_.00g228480","Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)"
"33","PGEN_.00g231540",NA
"34","PGEN_.00g254970",NA
"35","PGEN_.00g269040","116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain protein 2) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)"
"36","PGEN_.00g273190","Putative phosphoenolpyruvate synthase (Putative PEP synthase) (Pyruvate, water dikinase)"
"37","PGEN_.00g300030","Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]"
"38","PGEN_.00g306010","tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2)"
"39","PGEN_.00g312490","Tetratricopeptide repeat protein 39C (TPR repeat protein 39C)"
"40","PGEN_.00g316320","Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)"
"41","PGEN_.00g338720","Zinc finger protein 26 (Zfp-26) (Protein mKR3)"
