"","Gene.ID","Freq","mean.LFC","sd.LFC","Uniprot","HGNC","fxn","Go.terms","Go.fxns","gene.length"
"1","PGEN_.00g003940",3,3.88074276587087,0.405783714180824,"Q2PFX5","RGN_MACFA","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)","GO:0004341; GO:0005509; GO:0005623; GO:0005634; GO:0005737; GO:0006874; GO:0008270; GO:0030234; GO:0032781; GO:0050848","cell [GO:0005623]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]; gluconolactonase activity [GO:0004341]; zinc ion binding [GO:0008270]; cellular calcium ion homeostasis [GO:0006874]; positive regulation of ATPase activity [GO:0032781]; regulation of calcium-mediated signaling [GO:0050848]",6291
"2","PGEN_.00g027970",3,4.54657127977815,1.04939869925553,NA,NA,NA,NA,NA,9095
"3","PGEN_.00g057310",3,5.77581058743543,1.03744880234943,"P82968","MCPI_MELCP","Four-domain proteases inhibitor (McaPI)","GO:0004867","serine-type endopeptidase inhibitor activity [GO:0004867]",11964
"4","PGEN_.00g092270",3,-7.49770288334468,1.52353438626513,"Q6YHK3","CD109_HUMAN","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)","GO:0001933; GO:0001942; GO:0002576; GO:0004867; GO:0005576; GO:0005615; GO:0005829; GO:0005886; GO:0009986; GO:0010839; GO:0030512; GO:0031092; GO:0031225; GO:0045616; GO:0050431; GO:0061045; GO:0072675","anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]; serine-type endopeptidase inhibitor activity [GO:0004867]; transforming growth factor beta binding [GO:0050431]; hair follicle development [GO:0001942]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of wound healing [GO:0061045]; osteoclast fusion [GO:0072675]; platelet degranulation [GO:0002576]; regulation of keratinocyte differentiation [GO:0045616]",54935
"5","PGEN_.00g130390",3,-9.16438513788301,5.69156866520284,NA,NA,NA,NA,NA,1989
"6","PGEN_.00g133710",3,5.21140809724057,1.47919895415671,NA,NA,NA,NA,NA,8603
"7","PGEN_.00g158570",3,5.21884760557433,1.56018964363962,NA,NA,NA,NA,NA,3532
"8","PGEN_.00g162900",3,-11.434806539728,4.37892239096208,NA,NA,NA,NA,NA,1829
"9","PGEN_.00g169480",3,4.82677665063601,1.17696877290544,"Q13231","CHIT1_HUMAN","Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)","GO:0000272; GO:0004553; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0005764; GO:0006032; GO:0006955; GO:0008061; GO:0008843; GO:0009617; GO:0035580; GO:0043312; GO:0044245; GO:1904724","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; endochitinase activity [GO:0008843]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; chitin catabolic process [GO:0006032]; immune response [GO:0006955]; neutrophil degranulation [GO:0043312]; polysaccharide catabolic process [GO:0000272]; polysaccharide digestion [GO:0044245]; response to bacterium [GO:0009617]",23699
"10","PGEN_.00g188250",3,4.44739491938089,1.40678799585333,"P15941","MUC1_HUMAN","Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]","GO:0000790; GO:0000978; GO:0002039; GO:0002223; GO:0003712; GO:0005615; GO:0005796; GO:0005886; GO:0005887; GO:0006977; GO:0006978; GO:0010944; GO:0016266; GO:0016324; GO:0019221; GO:0031982; GO:0033629; GO:0036003; GO:0043618; GO:0070062; GO:0090240; GO:1902166","apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; integral component of plasma membrane [GO:0005887]; nuclear chromatin [GO:0000790]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; p53 binding [GO:0002039]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator activity [GO:0003712]; cytokine-mediated signaling pathway [GO:0019221]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:0006978]; negative regulation of cell adhesion mediated by integrin [GO:0033629]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of transcription by competitive promoter binding [GO:0010944]; O-glycan processing [GO:0016266]; positive regulation of histone H4 acetylation [GO:0090240]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]",89020
