"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g002290","oxidoreductase activity",0.04629728847815,"GO:0070330","aromatase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"2","PGEN_.00g002290","oxidoreductase activity",0.0238686496080705,"GO:0004090","carbonyl reductase (NADPH) activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"3","PGEN_.00g002290","oxidoreductase activity",0.00956156277336229,"GO:0004602","glutathione peroxidase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"4","PGEN_.00g002290","oxidoreductase activity",0.0383511952346645,"GO:0016404","15-hydroxyprostaglandin dehydrogenase (NAD+) activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"5","PGEN_.00g002290","oxidoreductase activity",0.0218456254535284,"GO:0003997","acyl-CoA oxidase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"6","PGEN_.00g002290","oxidoreductase activity",0.000490257078468141,"GO:0045174","glutathione dehydrogenase (ascorbate) activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"7","PGEN_.00g002290","oxidoreductase activity",0.0109429151152974,"GO:0004367","glycerol-3-phosphate dehydrogenase [NAD+] activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"8","PGEN_.00g002290","oxidoreductase activity",0.033024917086245,"GO:0003858","3-hydroxybutyrate dehydrogenase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"9","PGEN_.00g002290","oxidoreductase activity",0.00606342904354725,"GO:0050610","methylarsonate reductase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"10","PGEN_.00g002290","oxidoreductase activity",0.0395523851392573,"GO:0047035","testosterone dehydrogenase (NAD+) activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"11","PGEN_.00g002290","oxidoreductase activity",0.0186167709209859,"GO:0010436","carotenoid dioxygenase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"12","PGEN_.00g002290","oxidoreductase activity",0.0196366734239132,"GO:0004022","alcohol dehydrogenase (NAD+) activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"13","PGEN_.00g002290","oxidoreductase activity",0.0242509920956358,"GO:0004303","estradiol 17-beta-dehydrogenase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"14","PGEN_.00g002290","oxidoreductase activity",0.0031564089902303,"GO:0044105","L-xylulose reductase (NAD+) activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"15","PGEN_.00g002290","oxidoreductase activity",0.0186167709209859,"GO:0003834","beta-carotene 15,15'-monooxygenase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"16","PGEN_.00g002290","oxidoreductase activity",0.0311427015787921,"GO:0015037","peptide disulfide oxidoreductase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"17","PGEN_.00g002290","oxidoreductase activity",0.0374650424335296,"GO:0070576","vitamin D 24-hydroxylase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"18","PGEN_.00g002290","oxidoreductase activity",0.00281139142259836,"GO:0004597","peptide-aspartate beta-dioxygenase activity","MF","brown","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
