"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g066340","protein transport",0.00412374658258501,"GO:0050714","positive regulation of protein secretion","BP","Day7","Up","Titin"
"2","PGEN_.00g066340","transport",0.00412374658258501,"GO:0050714","positive regulation of protein secretion","BP","Day7","Up","Titin"
"3","PGEN_.00g066340","transport",0.000956233380663834,"GO:1901998","toxin transport","BP","Day7","Up","Titin"
"4","PGEN_.00g066340","transport",0.000506189369195254,"GO:0070633","transepithelial transport","BP","Day7","Up","Titin"
"5","PGEN_.00g066340","transport",0.00106857170136221,"GO:0010765","positive regulation of sodium ion transport","BP","Day7","Up","Titin"
"6","PGEN_.00g066340","transport",3.9577394668602e-05,"GO:1902307","positive regulation of sodium ion transmembrane transport","BP","Day7","Up","Titin"
"7","PGEN_.00g164540","response to stress",0.0249766218828526,"GO:0006954","inflammatory response","BP","Day7","Up","Meprin A subunit beta"
"8","PGEN_.00g164540","transport",0.00106857170136221,"GO:0010765","positive regulation of sodium ion transport","BP","Day7","Up","Meprin A subunit beta"
"9","PGEN_.00g164540","transport",0.00412374658258501,"GO:0050714","positive regulation of protein secretion","BP","Day7","Up","Meprin A subunit beta"
"10","PGEN_.00g164540","transport",0.000956233380663834,"GO:1901998","toxin transport","BP","Day7","Up","Meprin A subunit beta"
"11","PGEN_.00g164540","response to stress",0.00354457061019584,"GO:0048678","response to axon injury","BP","Day7","Up","Meprin A subunit beta"
"12","PGEN_.00g164540","transport",3.9577394668602e-05,"GO:1902307","positive regulation of sodium ion transmembrane transport","BP","Day7","Up","Meprin A subunit beta"
"13","PGEN_.00g164540","transport",0.000506189369195254,"GO:0070633","transepithelial transport","BP","Day7","Up","Meprin A subunit beta"
"14","PGEN_.00g164660","transport",0.000956233380663834,"GO:1901998","toxin transport","BP","Day7","Up","Meprin A subunit beta"
"15","PGEN_.00g164660","response to stress",0.0249766218828526,"GO:0006954","inflammatory response","BP","Day7","Up","Meprin A subunit beta"
"16","PGEN_.00g164660","transport",3.9577394668602e-05,"GO:1902307","positive regulation of sodium ion transmembrane transport","BP","Day7","Up","Meprin A subunit beta"
"17","PGEN_.00g164660","transport",0.000506189369195254,"GO:0070633","transepithelial transport","BP","Day7","Up","Meprin A subunit beta"
"18","PGEN_.00g164660","transport",0.00106857170136221,"GO:0010765","positive regulation of sodium ion transport","BP","Day7","Up","Meprin A subunit beta"
"19","PGEN_.00g164660","transport",0.00412374658258501,"GO:0050714","positive regulation of protein secretion","BP","Day7","Up","Meprin A subunit beta"
