"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g000980","cellular nitrogen compound metaboli...",0.0136493777005092,"GO:0045892","negative regulation of transcription, DNA-templated","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"2","PGEN_.00g000980","cellular nitrogen compound metaboli...",0.00992978360621617,"GO:0045944","positive regulation of transcription by RNA polymerase II","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"3","PGEN_.00g000980","response to stress",0.00182016069428815,"GO:0006974","cellular response to DNA damage stimulus","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"4","PGEN_.00g000980","cellular nitrogen compound metaboli...",0.021527450287047,"GO:0006367","transcription initiation from RNA polymerase II promoter","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"5","PGEN_.00g000980","response to stress",0.0265132729892418,"GO:0006281","DNA repair","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"6","PGEN_.00g000980","cellular nitrogen compound metaboli...",0.00461537359569573,"GO:0000398","mRNA splicing, via spliceosome","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"7","PGEN_.00g000980","cellular nitrogen compound metaboli...",0.00243943146907068,"GO:0000122","negative regulation of transcription by RNA polymerase II","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"8","PGEN_.00g000980","cellular nitrogen compound metaboli...",0.0265132729892418,"GO:0006281","DNA repair","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"9","PGEN_.00g000980","response to stress",0.000248364428533859,"GO:0060336","negative regulation of interferon-gamma-mediated signaling pathway","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"10","PGEN_.00g000980","response to stress",0.000160998672675835,"GO:0002230","positive regulation of defense response to virus by host","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"11","PGEN_.00g000980","response to stress",0.0303913470233338,"GO:0050727","regulation of inflammatory response","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"12","PGEN_.00g000980","response to stress",0.000125040359461445,"GO:0051607","defense response to virus","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"13","PGEN_.00g000980","response to stress",0.0186107850062231,"GO:0045087","innate immune response","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
"14","PGEN_.00g000980","response to stress",0.00834803671736354,"GO:0030433","ubiquitin-dependent ERAD pathway","BP","midnightblue","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"
