"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g007330","Day7","Q08AN1","Zinc finger protein 616",2
"2","PGEN_.00g007330","Day21","Q08AN1","Zinc finger protein 616",2
"3","PGEN_.00g043410","Day7","Q29451","Lysosomal alpha-mannosidase ",2
"4","PGEN_.00g043410","Day21","Q29451","Lysosomal alpha-mannosidase ",2
"5","PGEN_.00g047650","Day7","P70549","Sodium/calcium exchanger 3 ",2
"6","PGEN_.00g047650","Day21","P70549","Sodium/calcium exchanger 3 ",2
"7","PGEN_.00g067330","Day7","Q8TDW5","Synaptotagmin-like protein 5",2
"8","PGEN_.00g067330","Day21","Q8TDW5","Synaptotagmin-like protein 5",2
"9","PGEN_.00g108980","Day7","Q6RWA9","Sodium/potassium-transporting ATPase subunit alpha ",2
"10","PGEN_.00g108980","Day21","Q6RWA9","Sodium/potassium-transporting ATPase subunit alpha ",2
"11","PGEN_.00g112690","Day21","Q91V57","N-chimaerin ",2
"12","PGEN_.00g112690","Day7","Q91V57","N-chimaerin ",2
"13","PGEN_.00g122400","Day21","Q01433","AMP deaminase 2 ",2
"14","PGEN_.00g122400","Day7","Q01433","AMP deaminase 2 ",2
"15","PGEN_.00g139740","Day21","Q6Q473","Calcium-activated chloride channel regulator 4A ",2
"16","PGEN_.00g139740","Day7","Q6Q473","Calcium-activated chloride channel regulator 4A ",2
"17","PGEN_.00g142260","Day7","Q8WY54","Protein phosphatase 1E ",2
"18","PGEN_.00g142260","Day21","Q8WY54","Protein phosphatase 1E ",2
"19","PGEN_.00g183190","Day7","Q9W1A4","Protein tamozhennic",2
"20","PGEN_.00g183190","Day21","Q9W1A4","Protein tamozhennic",2
"21","PGEN_.00g183550","Day7","A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 ",2
"22","PGEN_.00g183550","Day21","A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 ",2
"23","PGEN_.00g186060","Day21","Q9WTR8","PH domain leucine-rich repeat protein phosphatase 1 ",2
"24","PGEN_.00g186060","Day7","Q9WTR8","PH domain leucine-rich repeat protein phosphatase 1 ",2
"25","PGEN_.00g192440","Day7","P31596","Excitatory amino acid transporter 2 ",2
"26","PGEN_.00g192440","Day21","P31596","Excitatory amino acid transporter 2 ",2
"27","PGEN_.00g202790","Day21","Q99MY8","Histone-lysine N-methyltransferase ASH1L ",2
"28","PGEN_.00g202790","Day7","Q99MY8","Histone-lysine N-methyltransferase ASH1L ",2
"29","PGEN_.00g220600","Day7","Q90Z16","Optineurin ",2
"30","PGEN_.00g220600","Day21","Q90Z16","Optineurin ",2
"31","PGEN_.00g223150","Day7","Q8WNU8","Serine/threonine-protein kinase Nek11 ",2
"32","PGEN_.00g223150","Day21","Q8WNU8","Serine/threonine-protein kinase Nek11 ",2
"33","PGEN_.00g223990","Day7","Q96M96","FYVE, RhoGEF and PH domain-containing protein 4 ",2
"34","PGEN_.00g223990","Day21","Q96M96","FYVE, RhoGEF and PH domain-containing protein 4 ",2
"35","PGEN_.00g233710","Day21","Q99KH8","Serine/threonine-protein kinase 24 ",2
"36","PGEN_.00g233710","Day7","Q99KH8","Serine/threonine-protein kinase 24 ",2
"37","PGEN_.00g259100","Day7","O96028","Histone-lysine N-methyltransferase NSD2 ",2
"38","PGEN_.00g259100","Day21","O96028","Histone-lysine N-methyltransferase NSD2 ",2
"39","PGEN_.00g302370","Day7","Q8TC41","Probable E3 ubiquitin-protein ligase RNF217 ",2
"40","PGEN_.00g302370","Day21","Q8TC41","Probable E3 ubiquitin-protein ligase RNF217 ",2
"41","PGEN_.00g320760","Day7","O88553","Zinc finger protein 37 ",2
"42","PGEN_.00g320760","Day21","O88553","Zinc finger protein 37 ",2
"43","PGEN_.00g329270","Day7","Q90ZK6","Activin receptor type-1 ",2
"44","PGEN_.00g329270","Day21","Q90ZK6","Activin receptor type-1 ",2
"45","PGEN_.00g001500","Day21","Q86Y13","E3 ubiquitin-protein ligase DZIP3 ",1
"46","PGEN_.00g001920","Day7","Q5R807","F-BAR domain only protein 2",1
"47","PGEN_.00g003130","Day21","Q5U2T6","Zinc finger protein PLAG1 ",1
"48","PGEN_.00g006290","Day7","Q9BYK8","Helicase with zinc finger domain 2 ",1
"49","PGEN_.00g007860","Day7","P53478","Actin, cytoplasmic type 5",1
"50","PGEN_.00g007870","Day7","P41340","Actin-3",1
"51","PGEN_.00g008400","Day7","Q02977","Proto-oncogene tyrosine-protein kinase Yrk ",1
"52","PGEN_.00g008640","Day14","Q9D0F9","Phosphoglucomutase-1 ",1
"53","PGEN_.00g013370","Day7","A8K0R7","Zinc finger protein 839 ",1
"54","PGEN_.00g014620","Day7","Q9ULG1","Chromatin-remodeling ATPase INO80 ",1
"55","PGEN_.00g022340","Day14","Q12729","Laccase-1 ",1
"56","PGEN_.00g022410","Day21","Q5CAZ6","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 ",1
"57","PGEN_.00g022810","Day7","Q9H2Y7","Zinc finger protein 106 ",1
"58","PGEN_.00g026180","Day7","P29119","Furin-1 ",1
"59","PGEN_.00g028060","Day14","Q0VD27","Enolase-phosphatase E1 ",1
"60","PGEN_.00g028110","Day21","Q6PT52","Calcium-activated chloride channel regulator 1 ",1
"61","PGEN_.00g030650","Day7","Q96MB7","Putative nuclease HARBI1 ",1
"62","PGEN_.00g031350","Day21","Q9D361","U11/U12 small nuclear ribonucleoprotein 48 kDa protein ",1
"63","PGEN_.00g031370","Day21","Q9BQ24","Zinc finger FYVE domain-containing protein 21 ",1
"64","PGEN_.00g034750","Day7","Q9JID6","Long-chain-fatty-acid--CoA ligase 1 ",1
"65","PGEN_.00g036080","Day21","D3ZEN0","MICAL-like protein 2 ",1
"66","PGEN_.00g043700","Day21","Q5REI6","Zinc finger protein 791",1
"67","PGEN_.00g044190","Day7","Q9C0B0","RING finger protein unkempt homolog ",1
"68","PGEN_.00g044420","Day7","Q9C0B0","RING finger protein unkempt homolog ",1
"69","PGEN_.00g045080","Day14","Q19673","Putative tyrosinase-like protein tyr-3",1
"70","PGEN_.00g045090","Day7","O75689","Arf-GAP with dual PH domain-containing protein 1 ",1
"71","PGEN_.00g045120","Day21","Q96PX1","E3 ubiquitin ligase RNF157 ",1
"72","PGEN_.00g046190","Day21","Q9NYT6","Zinc finger protein 226",1
"73","PGEN_.00g050080","Day21","Q2VPM4","Zinc finger protein 703-B",1
"74","PGEN_.00g054630","Day21","Q54HX8","Cell death-inducing p53-target protein 1 homolog ",1
"75","PGEN_.00g055470","Day7","O00418","Eukaryotic elongation factor 2 kinase ",1
"76","PGEN_.00g056370","Day7","Q9BQS2","Synaptotagmin-15 ",1
"77","PGEN_.00g056490","Day7","Q55E58","Probable serine/threonine-protein kinase pats1 ",1
"78","PGEN_.00g056570","Day7","P36894","Bone morphogenetic protein receptor type-1A ",1
"79","PGEN_.00g058440","Day7","O14514","Adhesion G protein-coupled receptor B1 ",1
"80","PGEN_.00g058530","Day7","O14514","Adhesion G protein-coupled receptor B1 ",1
"81","PGEN_.00g058570","Day7","Q7RTP6","[F-actin]-monooxygenase MICAL3 ",1
"82","PGEN_.00g058950","Day21","Q5U303","TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 ",1
"83","PGEN_.00g060390","Day21","Q9D6J3","Splicing factor YJU2 ",1
"84","PGEN_.00g061020","Day7","Q6ZMW2","Zinc finger protein 782",1
"85","PGEN_.00g063140","Day7","P11029","Acetyl-CoA carboxylase ",1
"86","PGEN_.00g063200","Day7","Q9R0I6","E3 ubiquitin-protein ligase XIAP ",1
"87","PGEN_.00g067360","Day21","Q8TDW5","Synaptotagmin-like protein 5",1
"88","PGEN_.00g068460","Day21","Q9P2F9","Zinc finger protein 319",1
"89","PGEN_.00g071850","Day7","Q8JHV9","Baculoviral IAP repeat-containing protein 7-A ",1
"90","PGEN_.00g074360","Day21","P98170","E3 ubiquitin-protein ligase XIAP ",1
"91","PGEN_.00g079140","Day14","Q9VJJ7","Transient receptor potential-gamma protein ",1
"92","PGEN_.00g080420","Day21","P42680","Tyrosine-protein kinase Tec ",1
"93","PGEN_.00g081280","Day7","Q96MM6","Heat shock 70 kDa protein 12B",1
"94","PGEN_.00g081640","Day21","P23606","Protein-glutamine gamma-glutamyltransferase K ",1
"95","PGEN_.00g082000","Day7","Q0P4F7","Medium-chain acyl-CoA ligase ACSF2, mitochondrial ",1
"96","PGEN_.00g083640","Day7","Q13887","Krueppel-like factor 5 ",1
"97","PGEN_.00g090980","Day7","Q96MM6","Heat shock 70 kDa protein 12B",1
"98","PGEN_.00g092040","Day21","Q8JHV9","Baculoviral IAP repeat-containing protein 7-A ",1
"99","PGEN_.00g092450","Day21","D3ZUU2","GDNF-inducible zinc finger protein 1 ",1
"100","PGEN_.00g100200","Day21","Q14590","Zinc finger protein 235 ",1
"101","PGEN_.00g100250","Day7","Q86UW6","NEDD4-binding protein 2 ",1
"102","PGEN_.00g104080","Day7","Q9UIF8","Bromodomain adjacent to zinc finger domain protein 2B ",1
"103","PGEN_.00g104170","Day7","Q9UIF8","Bromodomain adjacent to zinc finger domain protein 2B ",1
