"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g003430","response to stress",0.0377487086954832,"GO:0050829","defense response to Gram-negative bacterium","BP","Toll-like receptor 2 (CD antigen CD282)"
"2","PGEN_.00g003430","immune system process",0.0060717330752518,"GO:0045088","regulation of innate immune response","BP","Toll-like receptor 2 (CD antigen CD282)"
"3","PGEN_.00g003430","immune system process",0.0095284342167367,"GO:0045087","innate immune response","BP","Toll-like receptor 2 (CD antigen CD282)"
"4","PGEN_.00g003430","response to stress",0.0335179098212934,"GO:0051607","defense response to virus","BP","Toll-like receptor 2 (CD antigen CD282)"
"5","PGEN_.00g003430","response to stress",0.0060717330752518,"GO:0045088","regulation of innate immune response","BP","Toll-like receptor 2 (CD antigen CD282)"
"6","PGEN_.00g003430","immune system process",0.00057242546316402,"GO:0019730","antimicrobial humoral response","BP","Toll-like receptor 2 (CD antigen CD282)"
"7","PGEN_.00g003430","response to stress",0.0095284342167367,"GO:0045087","innate immune response","BP","Toll-like receptor 2 (CD antigen CD282)"
"8","PGEN_.00g003430","immune system process",0.0335179098212934,"GO:0051607","defense response to virus","BP","Toll-like receptor 2 (CD antigen CD282)"
"9","PGEN_.00g009870","cellular protein modification proce...",0.00945742792427414,"GO:0031397","negative regulation of protein ubiquitination","BP","Receptor-type tyrosine-protein phosphatase T (R-PTP-T)"
"10","PGEN_.00g009870","cellular protein modification proce...",0.01605108939564,"GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","BP","Receptor-type tyrosine-protein phosphatase T (R-PTP-T)"
"11","PGEN_.00g009870","cellular protein modification proce...",0.00198317806396165,"GO:0006470","protein dephosphorylation","BP","Receptor-type tyrosine-protein phosphatase T (R-PTP-T)"
"12","PGEN_.00g012860","anatomical structure development",0.00980120666737925,"GO:0001702","gastrulation with mouth forming second","BP","NF-kappa-B inhibitor cactus"
"13","PGEN_.00g012860","anatomical structure development",0.00858314001897663,"GO:0016525","negative regulation of angiogenesis","BP","NF-kappa-B inhibitor cactus"
"14","PGEN_.00g012860","anatomical structure development",0.0124451523646452,"GO:0060173","limb development","BP","NF-kappa-B inhibitor cactus"
"15","PGEN_.00g012860","anatomical structure development",0.00726606412949046,"GO:0051965","positive regulation of synapse assembly","BP","NF-kappa-B inhibitor cactus"
