"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","Gene_terms"
"1","PGEN_.00g001620","phosphatase activity",0.0243169085152785,"GO:0043812","phosphatidylinositol-4-phosphate phosphatase activity","MF","red","Serum paraoxonase/arylesterase 1 (PON 1)"
"2","PGEN_.00g001620","phosphatase activity",0.0177944164952589,"GO:0004063","aryldialkylphosphatase activity","MF","red","Serum paraoxonase/arylesterase 1 (PON 1)"
"3","PGEN_.00g004180","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Threonylcarbamoyladenosine tRNA methylthiotransferase"
"4","PGEN_.00g004180","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Threonylcarbamoyladenosine tRNA methylthiotransferase"
"5","PGEN_.00g004180","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Threonylcarbamoyladenosine tRNA methylthiotransferase"
"6","PGEN_.00g004940","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Metalloendopeptidase OMA1, mitochondrial"
"7","PGEN_.00g004940","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Metalloendopeptidase OMA1, mitochondrial"
"8","PGEN_.00g004940","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Metalloendopeptidase OMA1, mitochondrial"
"9","PGEN_.00g005330","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"10","PGEN_.00g005330","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"11","PGEN_.00g005330","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog)"
"12","PGEN_.00g007520","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Serine/threonine-protein kinase PLK2"
"13","PGEN_.00g007520","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Serine/threonine-protein kinase PLK2"
"14","PGEN_.00g007520","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Serine/threonine-protein kinase PLK2"
"15","PGEN_.00g007520","kinase activity",0.0490461824311312,"GO:0004674","protein serine/threonine kinase activity","MF","red","Serine/threonine-protein kinase PLK2"
"16","PGEN_.00g007520","kinase activity",0.00352687720797909,"GO:0008440","inositol-1,4,5-trisphosphate 3-kinase activity","MF","red","Serine/threonine-protein kinase PLK2"
"17","PGEN_.00g008320","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Metalloprotease TIKI1"
"18","PGEN_.00g008320","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Metalloprotease TIKI1"
"19","PGEN_.00g008320","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Metalloprotease TIKI1"
"20","PGEN_.00g009780","structural molecule activity",0.0022627362425095,"GO:0017056","structural constituent of nuclear pore","MF","red","Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)"
"21","PGEN_.00g009780","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)"
"22","PGEN_.00g009780","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)"
"23","PGEN_.00g009780","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)"
"24","PGEN_.00g014630","ATPase activity",0.0149362984073928,"GO:0043139","5'-3' DNA helicase activity","MF","red","Chromatin-remodeling ATPase INO80"
"25","PGEN_.00g014630","ATPase activity",0.0480006860528451,"GO:0008094","DNA-dependent ATPase activity","MF","red","Chromatin-remodeling ATPase INO80"
"26","PGEN_.00g014630","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Chromatin-remodeling ATPase INO80"
"27","PGEN_.00g014630","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Chromatin-remodeling ATPase INO80"
"28","PGEN_.00g014630","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Chromatin-remodeling ATPase INO80"
"29","PGEN_.00g019700","kinase activity",0.0490461824311312,"GO:0004674","protein serine/threonine kinase activity","MF","red","Mitogen-activated protein kinase kinase kinase kinase 3"
"30","PGEN_.00g019700","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Mitogen-activated protein kinase kinase kinase kinase 3"
"31","PGEN_.00g019700","kinase activity",0.00352687720797909,"GO:0008440","inositol-1,4,5-trisphosphate 3-kinase activity","MF","red","Mitogen-activated protein kinase kinase kinase kinase 3"
"32","PGEN_.00g019700","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Mitogen-activated protein kinase kinase kinase kinase 3"
"33","PGEN_.00g019700","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Mitogen-activated protein kinase kinase kinase kinase 3"
"34","PGEN_.00g019740","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Ribosomal protein S6 kinase delta-1 (S6K-delta-1)"
"35","PGEN_.00g019740","kinase activity",0.00352687720797909,"GO:0008440","inositol-1,4,5-trisphosphate 3-kinase activity","MF","red","Ribosomal protein S6 kinase delta-1 (S6K-delta-1)"
"36","PGEN_.00g019740","kinase activity",0.0490461824311312,"GO:0004674","protein serine/threonine kinase activity","MF","red","Ribosomal protein S6 kinase delta-1 (S6K-delta-1)"
"37","PGEN_.00g019740","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Ribosomal protein S6 kinase delta-1 (S6K-delta-1)"
"38","PGEN_.00g019740","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Ribosomal protein S6 kinase delta-1 (S6K-delta-1)"
"39","PGEN_.00g020370","RNA binding",0.00580538407908513,"GO:0003729","mRNA binding","MF","red","S1 RNA-binding domain-containing protein 1"
"40","PGEN_.00g020370","RNA binding",0.0186168539718722,"GO:0035197","siRNA binding","MF","red","S1 RNA-binding domain-containing protein 1"
"41","PGEN_.00g021460","enzyme binding",0.0102268537532425,"GO:0031625","ubiquitin protein ligase binding","MF","red","Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (mLRP130)"
"42","PGEN_.00g027270","ion binding",0.00725203225688636,"GO:0005524","ATP binding","MF","red","Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D)"
"43","PGEN_.00g027270","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D)"
"44","PGEN_.00g027270","ion binding",0.00859644429551149,"GO:0046872","metal ion binding","MF","red","Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D)"
"45","PGEN_.00g030880","ion binding",0.0249306987634404,"GO:0031402","sodium ion binding","MF","red","Exonuclease 1"
"46","PGEN_.00g030880","nuclease activity",0.0311945789373155,"GO:0008409","5'-3' exonuclease activity","MF","red","Exonuclease 1"
