"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g006380","Day7","Q54TR1","Counting factor associated protein D",2
"2","PGEN_.00g006380","Day14","Q54TR1","Counting factor associated protein D",2
"3","PGEN_.00g009930","Day14","Q5G266","Neurotrypsin ",2
"4","PGEN_.00g009930","Day7","Q5G266","Neurotrypsin ",2
"5","PGEN_.00g019210","Day14","P60901","Proteasome subunit alpha type-6 ",2
"6","PGEN_.00g019210","Day21","P60901","Proteasome subunit alpha type-6 ",2
"7","PGEN_.00g033640","Day7","P03952","Plasma kallikrein ",2
"8","PGEN_.00g033640","Day14","P03952","Plasma kallikrein ",2
"9","PGEN_.00g038400","Day7","P80009","Plasminogen ",2
"10","PGEN_.00g038400","Day14","P80009","Plasminogen ",2
"11","PGEN_.00g047200","Day14","P54625","Trypsin beta ",2
"12","PGEN_.00g047200","Day7","P54625","Trypsin beta ",2
"13","PGEN_.00g057170","Day14","P14272","Plasma kallikrein ",2
"14","PGEN_.00g057170","Day7","P14272","Plasma kallikrein ",2
"15","PGEN_.00g057190","Day7","P03952","Plasma kallikrein ",2
"16","PGEN_.00g057190","Day14","P03952","Plasma kallikrein ",2
"17","PGEN_.00g108800","Day14","Q10751","Angiotensin-converting enzyme ",2
"18","PGEN_.00g108800","Day7","Q10751","Angiotensin-converting enzyme ",2
"19","PGEN_.00g170730","Day7","Q2KJ63","Plasma kallikrein ",2
"20","PGEN_.00g170730","Day14","Q2KJ63","Plasma kallikrein ",2
"21","PGEN_.00g199810","Day14","P28840","Neuroendocrine convertase 1 ",2
"22","PGEN_.00g199810","Day7","P28840","Neuroendocrine convertase 1 ",2
"23","PGEN_.00g272650","Day7","Q5G265","Neurotrypsin ",2
"24","PGEN_.00g272650","Day14","Q5G265","Neurotrypsin ",2
"25","PGEN_.00g298200","Day7","P83205","Cathepsin B ",2
"26","PGEN_.00g298200","Day14","P83205","Cathepsin B ",2
"27","PGEN_.00g298410","Day14","P83205","Cathepsin B ",2
"28","PGEN_.00g298410","Day7","P83205","Cathepsin B ",2
"29","PGEN_.00g344990","Day7","Q5G267","Neurotrypsin ",2
"30","PGEN_.00g344990","Day14","Q5G267","Neurotrypsin ",2
"31","PGEN_.00g345610","Day14","Q9GKL8","Cathepsin L1 ",2
"32","PGEN_.00g345610","Day7","Q9GKL8","Cathepsin L1 ",2
"33","PGEN_.00g345680","Day14","Q28944","Cathepsin L1 ",2
"34","PGEN_.00g345680","Day7","Q28944","Cathepsin L1 ",2
"35","PGEN_.00g346560","Day7","Q6V1X1","Dipeptidyl peptidase 8 ",2
"36","PGEN_.00g346560","Day14","Q6V1X1","Dipeptidyl peptidase 8 ",2
"37","PGEN_.00g348220","Day7","Q9ES87","Prostasin ",2
"38","PGEN_.00g348220","Day14","Q9ES87","Prostasin ",2
"39","PGEN_.00g348570","Day14","Q9ES87","Prostasin ",2
"40","PGEN_.00g348570","Day7","Q9ES87","Prostasin ",2
"41","PGEN_.00g015030","Day14","O55096","Dipeptidyl peptidase 3 ",1
"42","PGEN_.00g025650","Day14","Q95M12","Legumain ",1
"43","PGEN_.00g041020","Day7","Q4VSI4","Ubiquitin carboxyl-terminal hydrolase 7 ",1
"44","PGEN_.00g057380","Day7","Q9ESD1","Prostasin ",1
"45","PGEN_.00g075120","Day14","Q9R1P4","Proteasome subunit alpha type-1 ",1
"46","PGEN_.00g110360","Day21","P60330","Separin ",1
"47","PGEN_.00g115120","Day7","P12821","Angiotensin-converting enzyme ",1
"48","PGEN_.00g116480","Day21","P24495","Proteasome subunit alpha type-2 ",1
"49","PGEN_.00g150010","Day21","Q13867","Bleomycin hydrolase ",1
"50","PGEN_.00g156240","Day7","P47796","Chymotrypsin A ",1
"51","PGEN_.00g170120","Day14","Q6DIJ4","Ubiquitin carboxyl-terminal hydrolase 10 ",1
"52","PGEN_.00g187940","Day14","P34528","Putative serine protease K12H4.7 ",1
"53","PGEN_.00g208780","Day14","Q3ZCJ8","Dipeptidyl peptidase 1 ",1
"54","PGEN_.00g228480","Day7","A6H611","Mitochondrial intermediate peptidase ",1
"55","PGEN_.00g228920","Day7","Q64560","Tripeptidyl-peptidase 2 ",1
"56","PGEN_.00g269110","Day14","O73817","Proteasome subunit beta type-3 ",1
"57","PGEN_.00g321220","Day14","Q5RE69","Neprilysin ",1
"58","PGEN_.00g321850","Day7","O89110","Caspase-8 ",1
"59","PGEN_.00g345410","Day14","Q29485","Plasminogen ",1
